year,modern_SP_st_consistent
1990,1251210.0
1991,1258240.0
1992,1339505.0
1993,1443960.0
1994,1590321.0
1995,1641905.0
1996,1767272.0
1997,1874417.0
1998,1876908.0
1999,1970387.0
2000,1975917.0
2001,1972977.0
2002,2111683.0
2003,2321719.0
2004,2568307.0
2005,2850128.0
2006,3010002.0
2007,3072318.0
2008,2949985.0
2009,2891524.0
2010,3248405.0
2011,3373459.0
2012,3548196.0
2013,3772798.0
2014,3920391.0
2015,4005172.0
2016,4107298.0
2017,4260586.0
2018,4535691.0
2019,4676509.0
2020,4109889.0
2021,5170093.0
2022,5993107.0
2023,6458807.0
