year,value,series_code,description
1990,23.0,A939RC,Corporate Profits After Tax
1991,24.0,A939RC,Corporate Profits After Tax
1992,25.0,A939RC,Corporate Profits After Tax
1993,26.0,A939RC,Corporate Profits After Tax
1994,27.0,A939RC,Corporate Profits After Tax
1995,28.0,A939RC,Corporate Profits After Tax
1996,29.0,A939RC,Corporate Profits After Tax
1997,31.0,A939RC,Corporate Profits After Tax
1998,32.0,A939RC,Corporate Profits After Tax
1999,34.0,A939RC,Corporate Profits After Tax
2000,36.0,A939RC,Corporate Profits After Tax
2001,37.0,A939RC,Corporate Profits After Tax
2002,37.0,A939RC,Corporate Profits After Tax
2003,39.0,A939RC,Corporate Profits After Tax
2004,41.0,A939RC,Corporate Profits After Tax
2005,44.0,A939RC,Corporate Profits After Tax
2006,46.0,A939RC,Corporate Profits After Tax
2007,47.0,A939RC,Corporate Profits After Tax
2008,48.0,A939RC,Corporate Profits After Tax
2009,47.0,A939RC,Corporate Profits After Tax
2010,48.0,A939RC,Corporate Profits After Tax
2011,49.0,A939RC,Corporate Profits After Tax
2012,51.0,A939RC,Corporate Profits After Tax
2013,53.0,A939RC,Corporate Profits After Tax
2014,55.0,A939RC,Corporate Profits After Tax
2015,56.0,A939RC,Corporate Profits After Tax
2016,57.0,A939RC,Corporate Profits After Tax
2017,60.0,A939RC,Corporate Profits After Tax
2018,62.0,A939RC,Corporate Profits After Tax
2019,65.0,A939RC,Corporate Profits After Tax
2020,64.0,A939RC,Corporate Profits After Tax
2021,71.0,A939RC,Corporate Profits After Tax
2022,77.0,A939RC,Corporate Profits After Tax
2023,82.0,A939RC,Corporate Profits After Tax
2024,85.0,A939RC,Corporate Profits After Tax
