Pref,ace,,iii
,,,
Ack,nowledgments,,v
,,,
Defi,nitions and Classific,ations Underlying the NIPA's,M-l
,,,
N,IPA entries,,M-l
,,,
,Major aggregates,,M-l
,National Income and,Product Account,M-3
,Personal Income and,Outlay Account,M-8
,Government Receipts,and Expenditures Account,M-9
,,,
,Foreign Transactions,Account,M-9
,Gross Saving and Inv,estment Account,M-9
,Other definitions,,M-10
R,eal output and related,measures,M-10
,Quantity and price in,dexes,M-10
,Chained-dollar measu,res,M-l 1
,Price indexes,,M-l 3
,Implicit price deflator,s,M-l 4
,,,
,Command-basis GNP,and terms of trade,M-l 4
Cl,assifications of produ,ction,M-l 4
,Type of product,,M-14
,,,
,Sector,,M-l 5
,Legal form of organiz,ation,M-l 5
,Industry,,M-l 6
,,,
Pres,entation of the NIPA,'s,M-18
,,,
,Release schedule,,M-18
,Publication of the NIP,A tables,M-18
,Additional presentatio,ns of NIPA and NIPA-related estimates,M-19
,,,
Stati,stical Conventions U,sed for NIPA Estimates,M-21
,Seasonal adjustment,,M-21
,Annual rates,,M-21
,,,
App,endix: Updated Sum,mary NIPA Methodologies,M-23
,Current-dollar estima,tes,M-23
,Estimating meth,ods,M-23
,,,
,Balance of paym,ents accounts,M-24
,Other informatio,n,M-24
,Real estimates,,M-25
,,,
Digitized for FRASER,,,
http://fraser.stlouisfed,.org/,,
Federal Reserve Ban,k of St. Louis,,
