year,original_b,original_Pn,original_S,original_c',original_I!,original_SP,original_s',original_s'u,original_u,original_r',original_K g,original_nan,original_KK,original_s,original_I,original_s'«u,original_fn,original_gK,original_K,calculated_surplus_value,calculated_rate_of_profit,calculated_organic_composition,calculated_rate_of_surplus_value,calculated_capacity_utilization,calculated_capital_stock,calculated_investment,calculated_surplus_capital_ratio,calculated_investment_rate,calculated_surplus_value_growth,calculated_capital_stock_growth,calculated_investment_growth,corporate_profits,capacity_utilization,klems_capital,klems_surplus,klems_gross_output,klems_value_added,klems_labor_hours,klems_labor_compensation_col,klems_labor_compensation_nocol,modern_K_st_consistent,modern_SP_st_consistent
1958,0.62,96.54,256.15,0.86,34.89,256.04,0.14,0.1,0.77,0.47,0.18,0.049,710.9,,,,,,,256.15,0.47,0.86,0.14,0.77,710.9,34.89,0.3603179068786045,0.0490786327190884,,,,,,,,,,,,,1034000.0,
1959,0.62,104.46,278.42,0.82,49.44,278.34,0.18,0.15,0.84,0.45,0.17,0.067,738.0,,,,,,,278.42,0.45,0.82,0.18,0.84,738.0,49.44,0.3772628726287263,0.0669918699186991,0.0869412453640445,0.0381206920804613,0.4170249355116078,,,,,,,,,,1078066.0,
1960,0.64,104.04,286.46,0.84,46.74,285.93,0.16,0.14,0.84,0.45,0.16,0.062,755.7,,,,,,,286.46,0.45,0.84,0.16,0.84,755.7,46.74,0.3790657668386925,0.0618499404525605,0.0288772358307591,0.0239837398373985,-0.0546116504854368,,,,,,,,,,1110974.0,
1961,0.63,109.64,296.54,0.85,45.31,295.95,0.15,0.13,0.83,0.46,0.17,0.058,775.4,,,,,,,296.54,0.46,0.85,0.15,0.83,775.4,45.31,0.3824348723239618,0.0584343564611813,0.0351881589052573,0.0260685457192006,-0.0305947796320068,,,,,,,,,,1147643.0,
1962,0.62,122.08,320.2,0.83,54.09,319.54,0.17,0.15,0.87,0.46,0.18,0.067,802.3,,,,,,,320.2,0.46,0.83,0.17,0.87,802.3,54.09,0.3991025800822635,0.0674186713199551,0.0797868752950696,0.034691771988651,0.1937762083425291,,,,,,,,,,1190386.0,
1963,0.62,129.08,337.71,0.83,58.27,337.07,0.17,0.15,0.9,0.45,0.17,0.07,832.0,,,,,,,337.71,0.45,0.83,0.17,0.9,832.0,58.27,0.4059014423076922,0.0700360576923077,0.0546845721424109,0.0370185716066309,0.0772786097245332,,,,,,,,,,1228733.0,
1964,0.62,138.11,364.54,0.83,63.05,364.0,0.17,0.16,0.93,0.45,0.17,0.072,872.3,,,,,,,364.54,0.45,0.83,0.17,0.93,872.3,63.05,0.417906683480454,0.0722801788375558,0.079446862692843,0.0484374999999999,0.082031920370688,,,,,,,,,,1313939.0,
1965,0.61,154.28,395.0,0.8,77.12,394.44,0.2,0.19,0.98,0.43,0.17,0.083,932.3,,,,,,,395.0,0.43,0.8,0.2,0.98,932.3,77.12,0.4236833637241231,0.0827201544567199,0.0835573599604981,0.0687836753410524,0.2231562252180809,,,,,,,,,,1402886.0,
1966,0.61,167.85,430.65,0.8,86.75,430.09,0.2,0.2,1.01,0.42,0.16,0.086,1014.4,,,,,,,430.65,0.42,0.8,0.2,1.01,1014.4,86.75,0.4245366719242902,0.0855185331230283,0.0902531645569619,0.0880617826879759,0.1248703319502073,,,,,,,,,,1522082.0,
1967,0.63,170.38,454.4,0.82,82.29,453.42,0.18,0.18,0.99,0.42,0.16,0.075,1093.0,,,,,,,454.4,0.42,0.82,0.18,0.99,1093.0,82.29,0.4157365050320219,0.0752881976212259,0.0551491930802274,0.0774842271293376,-0.0514121037463976,,,,,,,,,,1636531.0,
