year,value
1990,84.134
1991,75.36
1992,80.537
1993,87.651
1994,92.738
1995,92.182
1996,91.156
1997,90.583
1998,85.674
1999,85.442
2000,87.428
2001,80.519
2002,85.722
2003,87.01
2004,94.599
2005,86.336
2006,88.934
2007,85.96
2008,81.404
2009,51.202
2010,69.849
2011,75.574
2012,76.542
2013,78.568
2014,79.338
2015,71.885
2016,70.549
2017,73.648
2018,78.531
2019,78.152
2020,68.193
2021,79.196
2022,75.421
2023,74.485
2024,70.46
2025,72.395
