realtime_start,realtime_end,date,value
2025-09-22,2025-09-22,1990-01-01,83.0941
2025-09-22,2025-09-22,1990-02-01,82.9966
2025-09-22,2025-09-22,1990-03-01,82.9161
2025-09-22,2025-09-22,1990-04-01,82.6691
2025-09-22,2025-09-22,1990-05-01,80.9568
2025-09-22,2025-09-22,1990-06-01,80.9458
2025-09-22,2025-09-22,1990-07-01,81.721
2025-09-22,2025-09-22,1990-08-01,80.0855
2025-09-22,2025-09-22,1990-09-01,79.7904
2025-09-22,2025-09-22,1990-10-01,77.7959
2025-09-22,2025-09-22,1990-11-01,75.7669
2025-09-22,2025-09-22,1990-12-01,74.0814
2025-09-22,2025-09-22,1991-01-01,73.5858
2025-09-22,2025-09-22,1991-02-01,72.0164
2025-09-22,2025-09-22,1991-03-01,73.3499
2025-09-22,2025-09-22,1991-04-01,74.1624
2025-09-22,2025-09-22,1991-05-01,75.8401
2025-09-22,2025-09-22,1991-06-01,79.448
2025-09-22,2025-09-22,1991-07-01,77.1508
2025-09-22,2025-09-22,1991-08-01,78.0999
2025-09-22,2025-09-22,1991-09-01,78.3805
2025-09-22,2025-09-22,1991-10-01,76.3552
2025-09-22,2025-09-22,1991-11-01,77.7568
2025-09-22,2025-09-22,1991-12-01,76.5457
2025-09-22,2025-09-22,1992-01-01,77.9121
2025-09-22,2025-09-22,1992-02-01,78.5357
2025-09-22,2025-09-22,1992-03-01,79.4722
2025-09-22,2025-09-22,1992-04-01,78.7856
2025-09-22,2025-09-22,1992-05-01,79.5703
2025-09-22,2025-09-22,1992-06-01,77.7417
2025-09-22,2025-09-22,1992-07-01,79.4936
2025-09-22,2025-09-22,1992-08-01,79.6719
2025-09-22,2025-09-22,1992-09-01,77.6266
2025-09-22,2025-09-22,1992-10-01,78.3984
2025-09-22,2025-09-22,1992-11-01,78.9744
2025-09-22,2025-09-22,1992-12-01,78.4632
2025-09-22,2025-09-22,1993-01-01,78.3967
2025-09-22,2025-09-22,1993-02-01,79.0562
2025-09-22,2025-09-22,1993-03-01,77.9463
2025-09-22,2025-09-22,1993-04-01,77.4439
2025-09-22,2025-09-22,1993-05-01,77.4169
2025-09-22,2025-09-22,1993-06-01,76.9867
2025-09-22,2025-09-22,1993-07-01,77.9872
2025-09-22,2025-09-22,1993-08-01,78.6931
2025-09-22,2025-09-22,1993-09-01,78.7773
2025-09-22,2025-09-22,1993-10-01,80.7256
2025-09-22,2025-09-22,1993-11-01,80.5949
2025-09-22,2025-09-22,1993-12-01,81.4481
2025-09-22,2025-09-22,1994-01-01,83.0169
2025-09-22,2025-09-22,1994-02-01,80.735
2025-09-22,2025-09-22,1994-03-01,80.6808
2025-09-22,2025-09-22,1994-04-01,81.3422
2025-09-22,2025-09-22,1994-05-01,82.744
2025-09-22,2025-09-22,1994-06-01,83.0816
2025-09-22,2025-09-22,1994-07-01,83.3364
2025-09-22,2025-09-22,1994-08-01,82.3081
2025-09-22,2025-09-22,1994-09-01,83.3723
2025-09-22,2025-09-22,1994-10-01,83.8439
2025-09-22,2025-09-22,1994-11-01,82.4494
2025-09-22,2025-09-22,1994-12-01,86.5406
2025-09-22,2025-09-22,1995-01-01,84.8028
2025-09-22,2025-09-22,1995-02-01,82.0984
2025-09-22,2025-09-22,1995-03-01,80.0983
2025-09-22,2025-09-22,1995-04-01,80.8918
2025-09-22,2025-09-22,1995-05-01,78.6525
2025-09-22,2025-09-22,1995-06-01,78.7666
2025-09-22,2025-09-22,1995-07-01,79.7862
2025-09-22,2025-09-22,1995-08-01,79.9558
2025-09-22,2025-09-22,1995-09-01,81.5387
2025-09-22,2025-09-22,1995-10-01,81.3163
2025-09-22,2025-09-22,1995-11-01,79.748
2025-09-22,2025-09-22,1995-12-01,82.3817
2025-09-22,2025-09-22,1996-01-01,78.4687
