year,value
1990,84.512
1991,79.43
1992,81.647
1993,85.84
1994,91.426
1995,89.988
1996,89.159
1997,89.69
1998,87.366
1999,86.381
2000,82.867
2001,73.634
2002,76.803
2003,75.974
2004,83.596
2005,81.355
2006,80.46
2007,80.847
2008,77.881
2009,55.027
2010,69.272
2011,75.42
2012,74.582
2013,75.889
2014,74.499
2015,68.662
2016,66.427
2017,66.017
2018,71.131
2019,70.866
2020,62.321
2021,71.773
2022,71.779
2023,70.977
2024,69.443
2025,69.586
