realtime_start,realtime_end,date,value
2025-09-22,2025-09-22,1990-01-01,80.7616
2025-09-22,2025-09-22,1990-02-01,83.3352
2025-09-22,2025-09-22,1990-03-01,82.7401
2025-09-22,2025-09-22,1990-04-01,83.9017
2025-09-22,2025-09-22,1990-05-01,84.3632
2025-09-22,2025-09-22,1990-06-01,86.1029
2025-09-22,2025-09-22,1990-07-01,79.0896
2025-09-22,2025-09-22,1990-08-01,94.3783
2025-09-22,2025-09-22,1990-09-01,85.0815
2025-09-22,2025-09-22,1990-10-01,84.4361
2025-09-22,2025-09-22,1990-11-01,86.1385
2025-09-22,2025-09-22,1990-12-01,79.2831
2025-09-22,2025-09-22,1991-01-01,74.4742
2025-09-22,2025-09-22,1991-02-01,73.0163
2025-09-22,2025-09-22,1991-03-01,71.0682
2025-09-22,2025-09-22,1991-04-01,71.3658
2025-09-22,2025-09-22,1991-05-01,72.3926
2025-09-22,2025-09-22,1991-06-01,73.7472
2025-09-22,2025-09-22,1991-07-01,76.6864
2025-09-22,2025-09-22,1991-08-01,75.6642
2025-09-22,2025-09-22,1991-09-01,79.3655
2025-09-22,2025-09-22,1991-10-01,77.8657
2025-09-22,2025-09-22,1991-11-01,80.8789
2025-09-22,2025-09-22,1991-12-01,77.8006
2025-09-22,2025-09-22,1992-01-01,80.0207
2025-09-22,2025-09-22,1992-02-01,78.4709
2025-09-22,2025-09-22,1992-03-01,81.6994
2025-09-22,2025-09-22,1992-04-01,80.3657
2025-09-22,2025-09-22,1992-05-01,79.7558
2025-09-22,2025-09-22,1992-06-01,79.5611
2025-09-22,2025-09-22,1992-07-01,81.8428
2025-09-22,2025-09-22,1992-08-01,80.9176
2025-09-22,2025-09-22,1992-09-01,79.0315
2025-09-22,2025-09-22,1992-10-01,81.6535
2025-09-22,2025-09-22,1992-11-01,80.6221
2025-09-22,2025-09-22,1992-12-01,82.498
2025-09-22,2025-09-22,1993-01-01,85.6086
2025-09-22,2025-09-22,1993-02-01,85.9107
2025-09-22,2025-09-22,1993-03-01,85.0238
2025-09-22,2025-09-22,1993-04-01,84.8076
2025-09-22,2025-09-22,1993-05-01,85.0206
2025-09-22,2025-09-22,1993-06-01,89.0874
2025-09-22,2025-09-22,1993-07-01,86.6716
2025-09-22,2025-09-22,1993-08-01,89.6473
2025-09-22,2025-09-22,1993-09-01,89.0032
2025-09-22,2025-09-22,1993-10-01,88.4111
2025-09-22,2025-09-22,1993-11-01,90.3533
2025-09-22,2025-09-22,1993-12-01,92.2635
2025-09-22,2025-09-22,1994-01-01,86.0863
2025-09-22,2025-09-22,1994-02-01,92.2864
2025-09-22,2025-09-22,1994-03-01,91.1438
2025-09-22,2025-09-22,1994-04-01,96.5252
2025-09-22,2025-09-22,1994-05-01,97.1579
2025-09-22,2025-09-22,1994-06-01,91.958
2025-09-22,2025-09-22,1994-07-01,93.8043
2025-09-22,2025-09-22,1994-08-01,86.074
2025-09-22,2025-09-22,1994-09-01,91.9685
2025-09-22,2025-09-22,1994-10-01,94.2791
2025-09-22,2025-09-22,1994-11-01,93.8068
2025-09-22,2025-09-22,1994-12-01,97.7614
2025-09-22,2025-09-22,1995-01-01,97.0672
2025-09-22,2025-09-22,1995-02-01,95.4862
2025-09-22,2025-09-22,1995-03-01,94.3521
2025-09-22,2025-09-22,1995-04-01,91.552
2025-09-22,2025-09-22,1995-05-01,90.7659
2025-09-22,2025-09-22,1995-06-01,90.4845
2025-09-22,2025-09-22,1995-07-01,86.3523
2025-09-22,2025-09-22,1995-08-01,90.0502
2025-09-22,2025-09-22,1995-09-01,94.9123
2025-09-22,2025-09-22,1995-10-01,88.0632
2025-09-22,2025-09-22,1995-11-01,95.8494
2025-09-22,2025-09-22,1995-12-01,91.2496
2025-09-22,2025-09-22,1996-01-01,91.7233
2025-09-22,2025-09-22,1996-02-01,89.447
2025-09-22,2025-09-22,1996-03-01,92.0173
2025-09-22,2025-09-22,1996-04-01,90.7859
2025-09-22,2025-09-22,1996-05-01,91.2594
2025-09-22,2025-09-22,1996-06-01,93.7315
2025-09-22,2025-09-22,1996-07-01,92.156
2025-09-22,2025-09-22,1996-08-01,91.7348
2025-09-22,2025-09-22,1996-09-01,90.6674
2025-09-22,2025-09-22,1996-10-01,91.9394
2025-09-22,2025-09-22,1996-11-01,89.2369
2025-09-22,2025-09-22,1996-12-01,89.1672
