0,1
Marxian,Input-output
"A,  Revenue  side",
TV = GOp + GOt,= GOp + GOt + GOry
,+ (Mry + RYry)
VA = T V  - C,VA =  G O -M
= RYp + VAp + (GOt),= VAp + VAt + VAry
"VA 
VA",
,W = Wp + Wt + Wry
v=w p,
S =  VA-V,P = Pn + Pt + Prv
-wp,
+ RYt),
,Pt +  Pry)/(Wp
+ RYp>RYt +  RYt')]/Wp',
B.  Use side,
TP=GP p + GPt,GP = GPp -f GPt + GPry
,M = Mp + Mt + Mry
FP =  T P  - U,FD =  G P -U
= Mt + Mry +  (CON-RY c),= C O N +I
NP = CONWp,(no corresponding  category)
