0,1,2,3,4,5,6,7,8
,G/SP,0.33,0.33,0.35,0.37,0.35,0.35,0.36
Sources,Variables,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0
,G=G + WG,115.66,120.82,126.81,135.1,154.54,175.3,192.22
