0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,TOTAL  TRADE,,,,,,,,,,,,,,,
,Wholesale trade,,,,,,,,,,,,,,,
604B50,EC w h (r,millions of  $,68.356,75909.0,86563.0,99078.0,110193.0,121.78,128304.0,133066.0,148526.0,158577.0,167056.0,178193.0,195486.0,209774.0
607B50,FEE w h lr,thousands,4408.0,4574.0,4824.0,5059.0,5.102,5225.0,5125.0,5.089,5371.0,5496.0,5537.0,5676.0,5812.0,6050.0
,e c w h l r = ( E C / F E E ) w h lr,dollars,15.507,16596.0,17944.0,19585.0,21598.0,23307.0,25035.0,26148.0,27653.0,28853.0,30171.0,31394.0,33635.0,34673.0
610B  50,Lwh.r,thousands,4.69,4832.0,5072.0,5339.0,53.0,5522.0,5409.0,5409.0,5697.0,5804.0,5834.0,5.991,6149.0,6399.0
,W w h l r = e c w h l r x L w h tr,millions of  S,72.729,80191.0,91013.0,104.562,116543.0,128702.0,135414.0,141433.0,157541.0,167464.0,176017.0,188082.0,206821.0,221875.0
,Retail  trade,,,,,,,,,,,,,,,
604B51,ECreMr,millions of  S,104.145,115071.0,129900.0,143479.0,154515.0,166758.0,175649.0,189867.0,209716.0,225689.0,242066.0,258442.0,277714.0,293387.0
6O7B51,FEEreHr,thousands,10975.0,11481.0,12195.0,12489.0,12371.0,12470.0,12400.0,12722.0,13729.0,14444.0,14869.0,15403.0,15.911,16.428
,ec r e Ur =  (EC/FEE) r e Ur,dollars,9489.0,10023.0,10652.0,11488.0,12490.0,12373.0,14165.0,14866.0,15275.0,15625.0,16280.0,16779.0,17454.0,17859.0
61OB51,Lrcr,thousands,12407.0,13008.0,13740.0,14086.0,13999.0,14082.0,14010.0,14406.0,15341.0,15943.0,16381.0,16952.0,17409.0,17976.0
,"W r e M r = e c r e l , rx L r e ur",millions of  $,117734.0,130376.0,146357.0,161826.0,174849.0,188315.0,198455.0,214158.0,234340.0,249111.0,266681.0,284432.0,303861.0,321033.0
,Building  rental,,,,,,,,,,,,,,,
,,millions of  S,7634.0,8809.0,10616.0,12736.0,14045.0,14950.0,16080.0,18353.0,21067.0,23542.0,25506.0,28485.0,32.136,33283.0
,ROYALTIES,,,,,,,,,,,,,,,
,Finance and  insurance,,,,,,,,,,,,,,,
,ECfi = ECfire -  EC re,millions of  $,48361.0,53983.0,61399.0,69687.0,80259.0,90236.0,101325.0,113703.0,123984.0,137267.0,157281.0,175194.0,188.986,194587.0
604B52,ECfire,millions of  $,56951.0,63857.0,73101.0,83222.0,95180.0,106576.0,118707.0,133071.0,146443.0,162.48,185182.0,205979.0,223446.0,230329.0
,FEEfi = FEEfire -  FEEr,thousands,3370.0,3512.0,3704.0,3901.0,4048.0,4189.0,4252.0,4363.0,4522.0,4683.0,4937.0,5145.0,5.201,5231.0
607B52,FEEfire,thousands,4178.0,4361.0,4610.0,4854.0,5018.0,5166.0,5229.0,5370.0,5587.0,5800.0,6109.0,6362.0,6458.0,6502.0
,e c f i = ( E C / F E E ) fi,dollars,14350.0,15371.0,16576.0,17864.0,19827.0,21541.0,23830.0,26061.0,27418.0,29312.0,31858.0,34051.0,36336.0,37199.0
,,thousands,3486.0,3629.0,3845.0,4042.0,4195.0,4363.0,4452.0,4565.0,4730.0,4894.0,5157.0,5374.0,5431.0,5456.0
610B  52,Bre,thousands,4507.0,4708.0,5018.0,5305.0,5481.0,5622.0,5725.0,5909.0,6137.0,6363.0,6666.0,6960.0,7082.0,7123.0
,Lfire,,,,,,,,,,,,,,,
,W f i = e c f i x L fi,millions of  S,50026.0,55781.0,63736.0,72206.0,83174.0,93984.0,106091.0,118967.0,129687.0,143452.0,164290.0,182992.0,197343.0,202957.0
