0,1,1948,1949,1950,1951,1952,1953
,r'=profit  rate adjusted for utilization = rVu,0.52,0.53,0.48,0.49,0.49,0.46
,r = S/K = Marxian general rate of  profit,,0.37,0.38,0.39,0.38,0.39
BEA  1987,K =C = fixed nonresidential gross private capital,384.3,400.2,438.7,480.8,506.2,526.6
Shaikh  1992,u,0.75,0.7,0.78,0.81,0.79,0.84
,r'=r/u = NIPA-based general rate of  profit,0.27,0.27,0.25,0.26,0.25,0.23
,r =  P/K,0.21,0.19,0.2,0.21,0.19,0.19
B-79tf,IBT=indirect  business tax,20.2,21.3,23.5,25.3,27.7,29.7
