0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,"w,e = ( E C / F E E )^  = ( e c p ) , e",/worker/year,3092.0,3241.0,3424.0,3640.0,3860.0,3933.0,3984.0,4246.0,4419.0,4560.0,4912.0,5041.0,5298.0,5489.0
607B81,FEE^fed,thousands,538.0,570.0,553.0,578.0,620.0,599.0,599.0,597.0,603.0,622.0,633.0,645.0,664.0,680.0
607B86,"F E E , ,",thousands,211.0,221.0,234.0,246.0,284.0,292.0,293.0,300.0,302.0,305.0,320.0,352.0,372.0,368.0
,"F E E ,   ,,",thousands,749.0,791.0,787.0,824.0,904.0,891.0,892.0,897.0,905.0,927.0,953.0,997.0,1036.0,1048.0
6O4B81,E C f ed,millions of,1676.0,1857.0,1935.0,2140.0,2433.0,2366.0,2367.0,2535.0,2689.0,2859.0,3187.0,3276.0,3555.0,3790.0
604B86,EC1,millions of S,640.0,707.0,760.0,859.0,1056.0,1138.0,1187.0,1274.0,1310.0,1368.0,1494.0,1750.0,1934.0,1962.0
,"ECjco,.,",millions of,2316.0,2564.0,2695.0,2999.0,3489.0,3504.0,3554.0,3809.0,3999.0,4227.0,4681.0,5026.0,5489.0,5752.0
,Vte = ( e c p ) r x ( L p ) g e t o t tl,millions of,1925.0,2108.0,2218.0,2451.0,2814.0,2810.0,2813.0,3002.0,3120.0,3257.0,3538.0,3785.0,4103.0,4253.0
,"TOTAL TRADE  = W,,",millions of S,31939.0,32482.0,34714.0,37746.0,39659.0,42029.0,43194.0,46175.0,,52311.0,53600.0,57321.0,60652.0,61810.0
