0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,ECfi = ECfire -  EC re,millions of,48361.0,53983.0,61399.0,69687.0,80259.0,90236.0,101325.0,113703.0,123984.0,137267.0,157281.0,175194.0,188.986,194587.0
604B52,ECfire,millions of,56951.0,63857.0,73101.0,83222.0,95180.0,106576.0,118707.0,133071.0,146443.0,162.48,185182.0,205979.0,223446.0,230329.0
,FEEfi = FEEfire -  FEEr,thousands,3370.0,3512.0,3704.0,3901.0,4048.0,4189.0,4252.0,4363.0,4522.0,4683.0,4937.0,5145.0,5.201,5231.0
607B52,FEEfire,thousands,4178.0,4361.0,4610.0,4854.0,5018.0,5166.0,5229.0,5370.0,5587.0,5800.0,6109.0,6362.0,6458.0,6502.0
,e c f i = ( E C / F E E ) fi,dollars,14350.0,15371.0,16576.0,17864.0,19827.0,21541.0,23830.0,26061.0,27418.0,29312.0,31858.0,34051.0,36336.0,37199.0
,,thousands,3486.0,3629.0,3845.0,4042.0,4195.0,4363.0,4452.0,4565.0,4730.0,4894.0,5157.0,5374.0,5431.0,5456.0
610B  52,Bre,thousands,4507.0,4708.0,5018.0,5305.0,5481.0,5622.0,5725.0,5909.0,6137.0,6363.0,6666.0,6960.0,7082.0,7123.0
