0,1,2,3,4,5,6,7,8
q =  TPr/H p,"/hr  worked, prod, workers",51.63,52.93,55.03,55.58,57.21,57.6,61.64
q (index numbers)a,,187.36,192.07,199.69,201.67,207.6,208.99,223.67
y =  GFP r/Hp,"/hr  worked,  prod, workers",30.1,31.04,32.4,32.61,33.01,32.92,35.0
y findex numbers),,196.71,202.83,211.76,213.12,215.77,215.13,228.72
