0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sources,Variables,Units,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0
,v*'=V*/(V» +  S*),"index  numbers""",89.12,87.67,90.11,91.62,91.3,86.67,86.75,86.97,87.75,89.12,87.81
,v*'=VV(V* +  S*),,0.33,0.33,0.33,0.34,0.34,0.32,0.32,0.32,0.33,0.33,0.33
Table  H.I,V*,billions of  $,270.43,287.53,324.3,370.49,398.5,410.75,459.63,515.81,589.2,664.78,706.53
Table  H.I,,billions of  $,547.67,596.7,645.98,719.75,778.25,867.02,968.82,1083.13,1221.07,1346.24,1462.7
,s*,,,,,,,,,,,,
,v ' = e c p r / y*,"index  numbers""",94.62,93.99,97.17,98.75,96.96,93.37,93.81,93.93,94.88,96.05,93.18
,v'=ec' p r/y*,,0.31,0.31,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31
Table  J.I,y*,"index  numbers""",202.83,211.76,213.12,215.77,215.13,228.72,232.85,237.09,238.53,237.24,242.09
,ecpr =  ec p r/h p,1982 $/hour,9.62,9.98,10.38,10.68,10.46,10.71,10.95,11.17,11.35,11.43,11.31
,ecpr = ec p/pc,1982 $/prod. worker,18960.29,19566.71,20487.16,21063.45,20394.01,20640.5,21173.22,21602.83,21880.28,22024.52,21547.2
Table  G.2,ecp,$/prod. worker,8133.0,8785.45,9567.5,10447.47,11175.92,12219.18,13254.44,14409.09,15666.28,17223.18,18659.88
704 2*,pc (price  deflator),,42.9,44.9,46.7,49.6,54.8,59.2,62.6,66.7,71.6,78.2,86.6
Table  I.I,h p,"hours/prod,  worker/year",1970.32,1960.58,1973.01,1971.43,1949.83,1927.59,1933.14,1934.6,1928.13,1927.53,1905.0
,w',"index  numbers""",88.89,86.87,85.86,83.33,82.83,,,,,,
Aglietta,,,88.0,86.0,85.0,82.5,82.0,,,,,,
Sources,Variables,Units,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,,1989.0,,
,v*'=V*/(V* +  S*),"index  numbers""",85.32,84.44,83.68,82.62,80.88,79.19,78.92,79.26,78.38,,
,v*'=VV(V* +  S*),,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,,
Table  H.I,V*,billions of  $,772.35,786.53,839.73,928.68,967.99,998.55,1060.9,1146.22,1206.4,,
Table  H.I,,billions of  $,1668.19,1724.68,1865.8,2101.78,2258.68,2401.11,2563.38,2752.81,2943.35,,
,s*,,,,,,,,,,,,
,v*=ec p r/y*,"index  numbers""",90.91,90.6,89.69,88.16,86.76,85.3,85.24,83.25,82.03,,
,v*=ec p r/y*,,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,,
Table  J.I,y*,"index  numbers""",250.07,255.42,262.51,268.23,273.96,279.42,279.78,289.48,291.19,,
,e c p r = e c p r / h p,1982 $/hour,11.4,11.6,11.81,11.86,11.92,11.95,11.96,12.08,11.98,,
,ecpr = ec p/pc,1982 $/prod.  worker,21634.6,21725.6,22352.61,22621.38,22567.64,22604.79,22640.6,22765.88,22569.98,,
Table  G.2,ecp,$/prod. worker,20466.34,21725.6,23269.07,24521.58,25320.89,26063.32,26964.96,28275.23,29318.41,,
704 2*,pc (price  deflator),,94.6,100.0,104.1,108.4,112.2,115.3,119.1,124.2,129.9,,
Table I.I,,"hours/prod, worker/year",1897.87,1872.45,1893.23,1907.86,1893.51,1891.53,1893.32,1883.93,1884.46,,
