0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Variables,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
b,0.66,0.66,0.66,0.65,0.65,0.65,0.66,0.66,0.68,0.66,0.65,0.65,0.66,0.67,0.66,0.65
Pn,263.02,297.02,329.95,373.88,429.27,474.3,493.08,566.99,556.29,631.1,739.48,783.75,808.3,847.3,932.8,1021.3
,778.25,867.02,968.82,1083.13,1221.07,1346.24,1462.7,1668.19,1724.68,1865.8,2101.78,2258.68,2401.11,2563.38,2752.81,2943.35
s*,,,,,,,,,,,,,,,,
c',0.8,0.86,0.83,0.8,0.78,0.79,0.83,0.81,0.86,0.84,0.8,0.83,0.83,0.83,0.84,0.85
I*,152.3,120.41,163.83,212.85,268.03,288.23,254.39,323.44,249.11,290.23,429.23,392.53,398.85,422.29,441.91,447.63
SP*,778.82,868.78,971.25,1086.66,1221.76,1347.44,1463.67,1669.4,1726.06,1867.15,2103.7,2258.31,2389.25,2555.52,2755.18,2945.32
s',0.2,0.14,0.17,0.2,0.22,0.21,0.17,0.19,0.14,0.16,0.2,0.17,0.17,0.17,0.16,0.15
s'«u,0.18,0.11,0.14,0.17,0.2,0.19,0.15,0.16,0.11,0.13,0.18,0.16,0.14,0.14,0.14,0.14
u,0.9,0.79,0.83,0.87,0.89,0.89,0.85,0.84,0.77,0.84,0.89,0.89,0.85,0.87,0.9,0.89
r*',0.36,0.41,0.4,0.38,0.36,0.36,0.36,0.36,0.38,0.36,0.37,0.38,0.4,0.39,0.39,0.39
fn,0.12,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.13,0.13,0.14
gK,0.064,0.045,0.056,0.065,0.071,0.068,0.053,0.059,0.043,0.048,0.067,0.059,0.057,0.057,0.056,0.053
K*,2387.1,2661.7,2920.8,3253.5,3774.6,4225.2,4884.4,5503.7,5859.2,6094.71,6432.91,6706.44,7056.52,7459.32,7895.58,8387.49
