0,1948,1949,1950,1951,1952,1953,1954
nan,58301.0,56919.0,58600.0,62366.0,63457.0,64247.0,62324.0
"L L
p",32994.0,31201.0,32226.0,33123.0,32768.0,33043.0,31230.0
LU =  L - L P,25307.0,25718.0,26374.0,29243.0,30.689,31204.0,31094.0
Lp/Lu,1.3,1.21,1.22,1.13,1.07,1.06,1.0
Lp/L,0.57,0.55,0.55,0.53,0.52,0.51,0.5
Variables,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
nan,63366.0,64522.0,64779.0,62765.0,64099.0,64989.0,64740.0
"L L
p",31714.0,31864.0,31433.0,29349.0,30020.0,30047.0,29363.0
LU =  L - L P,31652.0,32658.0,33346.0,33416.0,34079.0,34942.0,35377.0
L p/L u,1.0,0.98,0.94,0.88,0.88,0.86,0.83
Lp/L,0.5,0.49,0.49,0.47,0.47,0.46,0.45
Variables,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0
nan,66091.0,66655.0,67874.0,70128.0,73301.0,75137.0,76929.0
L L,29937.0,30013.0,30280.0,31365.0,32566.0,32856.0,33445.0
