0,1,2,3,4,5
,Production,Real Estate,Gross  Final  Demand,,Gross Product
,,& Rentals,,,
,,,CON,I,GP
Production,XX,"XX 
|",XX,XX,XX
Real Estate,,,,,
& Rentals,XX,XX,,,"n-GPj,."
Wages,,,,,
,-,,,,
Profits,xx,xx*'>ir,,,
,xx,xx-VAy.,,,
VA,,,,,
GO,xx,"xx-GOi,.",,,
