0,1
Contents,vii
G  Wages and variable capital,304.0
H  Surplus value and profit,323.0
"I 
Rates of  exploitation  of  productive and  unproductive",
workers,329.0
J  Measures of  productivity,336.0
K  Government  absorption of  surplus value,344.0
L  Aglietta's index of  the rate of  surplus value,346.0
M  Mage and NIPA measures of  the capitalist  sector gross,
product,351.0
"N  The net transfer  between workers and the state, and its",
impact on the rate of  surplus value,356.0
References,361.0
"Author 
index",369.0
"Subject 
index",371.0
