0,1,2,3,4,5,6,7,8,9,10,11,12
,svv,1.99,1.99,2.03,2.06,2.07,2.12,2.1,2.08,2.1,2.08,2.01
,SP  = FP-NP,278.34,285.93,295.95,319.54,337.07,364.0,394.44,430.09,453.42,493.12,523.25
,FP = GFP-DP,417.91,430.16,442.08,475.07,499.83,536.0,582.87,637.16,669.68,729.89,784.46
,GFP=TP-M P,439.36,451.95,463.88,498.12,523.74,561.05,609.78,665.94,699.15,762.32,819.72
,P+ =  V A - EC,169.96,172.24,180.54,197.78,209.98,224.91,247.88,266.95,273.48,293.98,304.13
"112  1""",VA = FD = NNP,451.2,468.9,486.1,525.2,555.5,595.9,647.7,709.9,749.0,818.7,882.5
604B1',EC,281.24,296.66,305.56,327.42,345.52,370.99,399.82,442.95,475.52,524.72,578.37
,PVEC,0.6,0.58,0.59,0.6,0.61,0.61,0.62,0.6,0.58,0.56,0.53
