0,1,2,3,4,5,6,7,8
nan,S //V /=(VA /-V /)/V /,1.83,1.91,1.91,1.88,1.84,1.78,1.86
nan,"i 
V A  ' = N NP +   RYry +  RYp  +  RY,",255.71,254.24,282.06,325.64,344.03,364.75,366.03
"112 
\a",NNP,241.2,238.4,264.6,306.2,322.5,340.7,340.0
Table  D.2,RYry +  RY'  +  RYt't,14.51,15.84,17.46,19.44,21.53,24.05,26.03
nan,V'=ec p r od +  ecprserv,90.22,87.44,96.99,112.88,121.21,131.4,127.93
Table G.I,e c p r od,80.85,77.77,86.78,101.87,109.6,118.89,114.95
Table  G.2,^^prserv,9.37,9.67,10.22,11.01,11.61,12.51,12.98
Sources,Variables,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
Table H.I,SVV,1.9,1.84,1.88,2.01,1.99,1.99,2.03
