0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,1962.0,,,1965.0,,,,,,,,,,
,PRODUCTION,,,,,,,,,,,,,,,
,Manufacturing,,,,,,,,,,,,,,,
604B13,E C ^n,millions of $,107928.0,112503.0,119955.0,129484.0,144515.0,151429.0,165.427,179756.0,181135.0,185224.0,203876.0,230716.0,250.654,252540.0
607B13,"FEE,™",thousands,16360.0,16484.0,16722.0,17624.0,18852.0,19068.0,19386.0,19789.0,18906.0,18087.0,18571.0,19605.0,19.538,17783.0
,cc I Mn =  (EC/FEE) m an,dollars,6597.0,6.825,7173.0,7347.0,7666.0,7942.0,8533.0,9084.0,9581.0,10241.0,10978.0,11768.0,12829.0,14201.0
610B  13,Lm«n,thousands,16658.0,16776.0,17006.0,17902.0,19112.0,19335.0,19642.0,20057.0,19177.0,18336.0,18819.0,19871.0,19804.0,18062.0
,Wmmn=CCmanXLnian,millions of S,109894.0,114496.0,121992.0,131526.0,146508.0,153549.0,167612.0,182190.0,183731.0,187774.0,206599.0,233846.0,254.067,256.502
,Mining,,,,,,,,,,,,,,,
604B7,EC m in,millions of S,4429.0,4462.0,4652.0,4859.0,5135.0,5303.0,5569.0,6176.0,6704.0,6982.0,7715.0,8595.0,10.457,12.923
607B7,FEEm in,thousands,640.0,623.0,619.0,624.0,621.0,604.0,599.0,611.0,615.0,602.0,612.0,626.0,685.0,739.0
,ec m in  =  (EC/FEE) n i in,dollars,6920.0,7162.0,7515.0,7787.0,8269.0,8780.0,9297.0,10108.0,10901.0,11598.0,12606.0,13730.0,15266.0,17487.0
610B7,Lmin,thousands,666.0,647.0,642.0,644.0,640.0,624.0,618.0,626.0,629.0,617.0,625.0,641.0,701.0,755.0
,W mj n=ec mj n  x L m in,millions of  $,4609.0,4634.0,4825.0,5015.0,5292.0,5479.0,5746.0,6328.0,6857.0,7156.0,7879.0,8801.0,10701.0,13203.0
,Construction,,,,,,,,,,,,,,,
6O4B12,"ECco,,",millions of S,18969.0,20279.0,22.116,24167.0,26675.0,27800.0,31136.0,35165.0,37469.0,40748.0,44474.0,50560.0,53985.0,52860.0
607B12,FEEc on,thousands,2855.0,2939.0,3.049,3221.0,3327.0,3301.0,3418.0,3562.0,3481.0,3538.0,3739.0,4011.0,3928.0,3442.0
,e c c o n = ( E C / F E E ) c on,dollars,6644.0,6900.0,7254.0,7503.0,8.018,8.422,9109.0,9872.0,10764.0,11517.0,11895.0,12605.0,13.744,15357.0
610B  12,L c on,thousands,3541.0,3619.0,3.728,3903.0,3.985,3965.0,4084.0,4256.0,4179.0,4261.0,4499.0,4835.0,4816.0,4296.0
,"W Coo=ec c o l,xL c on",millions of S,23527.0,24971.0,27041.0,29284.0,31951.0,33392.0,37203.0,42016.0,44982.0,49075.0,53514.0,60.947,66.189,65975.0
,Transportation and public utilities,,,,,,,,,,,,,,,
6O4B37,"ECtu,",millions of S,26477.0,27436.0,29221.0,31123.0,33700.0,35886.0,39060.0,42759.0,46998.0,50999.0,56429.0,63088.0,68.928,72913.0
607B37,"FEEtu,",thousands,3807.0,3795.0,3827.0,3926.0,4063.0,4145.0,4209.0,4303.0,4341.0,42.0,4339.0,4475.0,4.524,4357.0
,"ec tu, =  (EC/FEE), u,",dollars,6955.0,7230.0,7635.0,7927.0,8294.0,8658.0,9280.0,9937.0,10827.0,11871.0,13005.0,14098.0,15.236,16735.0
610B 37,"L,u,",thousands,3.989,3976.0,4.008,4108.0,4240.0,4330.0,4394.0,4488.0,4530.0,4498.0,4546.0,4670.0,4744.0,4584.0
,"W , u t = e c t u t x L , ul",millions of $,27743.0,28745.0,30.603,32566.0,35168.0,37488.0,40777.0,44597.0,49044.0,53397.0,59121.0,65837.0,72280.0,76712.0
,Services,,,,,,,,,,,,,,,
604B60,,millions of  $,35689.0,38231.0,41455.0,45089.0,50208.0,55551.0,61806.0,70360.0,77669.0,84743.0,95046.0,107839.0,120642.0,133805.0
,E C™,,,,,,,,,,,,,,,
607B60,F E E™,thousands,8398.0,8.639,8923.0,9317.0,9822.0,10369.0,10741.0,11136.0,11247.0,11428.0,12.003,12680.0,13045.0,13351.0
,ecseTV=(EC/FEE)™,dollars,4250.0,4425.0,4646.0,4839.0,5112.0,5357.0,5754.0,6318.0,6906.0,7415.0,7919.0,8505.0,9248.0,10022.0
610B60,L™,thousands,10310.0,10597.0,10920.0,11.306,11874.0,12443.0,12821.0,13313.0,13380.0,13577.0,14200.0,14879.0,15313.0,15650.0
,W $ e r v=ec $ e r vxL j e rv,millions of  $,43.814,46896.0,50733.0,54.715,60697.0,66662.0,73775.0,84115.0,92399.0,100679.0,112443.0,126541.0,141617.0,156846.0
,Agriculture,,,,,,,,,,,,,,,
604B4,EC Mr,millions of  $,4057.0,4202.0,4327.0,4529.0,4685.0,4772.0,5049.0,5455.0,5764.0,5900.0,6260.0,7466.0,8.611,9213.0
607B4,FEE^r,thousands,1723.0,1677.0,1.552,1476.0,1.382,1314.0,1298.0,1274.0,1280.0,1276.0,1293.0,1.368,1.458,1440.0
,e c n r = ( E C / F E E ) Mr,dollars,2355.0,2506.0,2788.0,3068.0,3.39,3632.0,3890.0,4282.0,4503.0,4624.0,4841.0,5.458,5906.0,6398.0
610B4,L v,thousands,4310.0,4079.0,3862.0,3713.0,3432.0,3338.0,3303.0,3.193,3118.0,3065.0,3116.0,3181.0,3255.0,3.191
,W v = e c M r x L a gr,millions of  $,10148.0,10221.0,10767.0,11393.0,11.635,12122.0,12848.0,13672.0,14041.0,14172.0,15086.0,17361.0,19224.0,20.416
,Government  enterprises*,,,,,,,,,,,,,,,
6O4B81,ECvM,millions of S,3968.0,4311.0,4586.0,4914.0,5.401,5791.0,6459.0,7076.0,8377.0,8.829,9590.0,10424.0,11824.0,12976.0
604B86,"EC^,,",millions of $,2.192,2325.0,2574.0,2777.0,3000.0,3227.0,3658.0,4094.0,4597.0,5.14,5606.0,6433.0,7352.0,8502.0
,W ^ o u l = E C i e f ed  + EC«$l,millions of S,6160.0,6636.0,7160.0,7691.0,8401.0,9018.0,10117.0,11170.0,12974.0,13969.0,15196.0,16857.0,19176.0,21478.0
