0,1,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
,S =  VA-V,149.94,148.64,165.26,188.25,194.51,204.52,208.2,228.55,236.97,250.25,256.15
,SVV,1.7,1.75,1.77,1.78,1.75,1.74,1.86,1.9,1.84,1.88,2.01
,SP =  F P  - N P,149.91,148.58,165.09,188.26,194.79,204.29,208.23,228.16,236.74,249.88,256.04
,FP = G F P  - D P,238.32,233.6,258.25,294.18,305.81,321.68,320.18,348.67,365.56,382.88,383.75
,GFP=TP-M;,247.74,242.9,269.06,307.03,319.61,336.71,335.26,365.74,384.1,402.67,403.67
,P+ =  V A - EC,99.11,96.4,109.18,124.61,126.15,130.28,130.63,145.59,145.36,152.14,154.24
"112  1""",VA = FD = NNP,241.2,238.4,264.6,306.2,322.5,340.7,340.0,371.5,390.1,409.9,414.0
"604B1""",EC,142.09,142.0,155.42,181.6,196.35,210.42,209.37,225.92,244.74,257.76,259.76
,PVEC,0.7,0.68,0.7,0.69,0.64,0.62,0.62,0.64,0.59,0.59,0.59
