0,1,2,3,4,5,6,7,8
"Wrcal =  W/pc""",billions of  1982,1064.56,1103.0,1161.89,1226.5,1310.46,1369.77,1441.89
"Vt, = VVpc",billions  of  1982,458.81,473.13,491.42,529.29,564.22,575.15,602.47
(Wu)rcal = W u/pc,billions of  1982,605.75,629.86,670.47,697.22,746.24,794.62,839.42
pc,,33.9,34.4,35.0,35.6,36.7,37.6,39.3
ecp = VVLp =  W p / L p,/prod.  worker/year,5195.52,5442.92,5680.27,6007.47,6358.51,6581.91,7079.28
ecu =  W u/L u,/unpr.  worker/year,5679.79,5913.26,6242.06,6403.3,6723.18,7066.52,7586.58
L u / L p,,1.21,1.22,1.24,1.24,1.25,1.29,1.3
ec u/ec p,,1.09,1.09,1.1,1.07,1.06,1.07,1.07
L p /L,,0.45,0.45,0.45,0.45,0.44,0.44,0.43
Variables,Units,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0
W V,billions of,624.7,667.55,712.25,783.12,875.19,961.23,1024.74
,billions  of,261.22,270.43,287.53,324.3,370.49,398.5,410.75
,,0.42,0.41,0.4,0.41,0.42,0.41,0.4
