0,1,2,3,4,5,6,7,8
,,,395.6,711.79,914.05,1200.79,1728.88,3054.58
Table,D.2,C = M',173.22,308.0,389.68,500.66,714.33,1367.27
Table,"E.l""",GVA,222.0,403.79,524.38,700.13,1014.55,1687.31
Table,E.2,TP,395.09,711.67,913.42,1199.81,1728.41,3058.1
,,U'=M p,173.22,308.0,389.68,500.66,714.33,1367.27
,,GFP =  T P  -U,221.87,403.67,523.74,699.15,1014.08,1690.83
Table,D.2,"M;,+M'ry",24.15,43.93,55.95,75.99,108.05,196.66
Table,E.2,CON,147.1,251.64,319.67,421.33,637.77,1068.01
Table,E.2,IG,32.47,58.4,86.8,117.28,187.77,318.62
Table,E.2,(X-IM),9.53,-2.03,-0.2,-3.33,-15.55,-35.29
Table,E.2,G,8.62,51.73,61.52,87.9,96.04,142.84
