0,1,2,3,4,5,6,7
,,GFU=GFP-(M[t + M,,216.23,240.45,275.76,286.94
,,FP = GFP-C,238.32,233.6,258.25,294.18,305.81
101,\a,GNP,261.6,260.3,288.2,333.5,351.6
705,\a,GNP  deflator,23.6,23.5,23.9,25.1,25.5
,,TPVGNP,1.71,1.66,1.67,1.65,1.63
,,M'/TP,0.5,0.5,0.5,0.5,0.5
,,GFUVTP,0.5,0.5,0.5,0.5,0.5
