0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SEHE,(wp)con,S/worker/week,65.23,67.56,69.68,76.0,82.86,86.41,88.54,90.9,96.38,100.27,103.78,108.41,112.67,118.08
604B  12,EC c on,millions of S,7662.0,7490.0,8624.0,10665.0,11597.0,12194.0,12452.0,13408.0,14919.0,15342.0,15152.0,16.623,17246.0,17716.0
6O5B12,"WSco,,",millions of S,7252.0,7085.0,8143.0,10069.0,10962.0,11507.0,11707.0,125.0,14019.0,14341.0,14349.0,15.603,16129.0,16491.0
,Xcon =  ( E C / W S ) c on,,1.057,1.057,1.059,1.059,1.058,1.06,1.064,1.064,1.064,1.07,1.056,1.065,1.069,1.074
,(ec p) c on  =  ( W p ) c o n x x c o n x 52,S/worker/year,3584.0,3714.0,3837.0,4239.0,4558.0,4762.0,4897.0,5032.0,5334.0,5.578,5699.0,6006.0,6265.0,65.0
,Vcon = (ecp)con X ( L p ) c on  =  (W p ) c on,millions,10259.0,10409.0,11647.0,13664.0,14520.0,14790.0,14548.0,15202.0,16669.0,17107.0,16630.0,18203.0,18663.0,19372.0
