0,1,2,3,4,5,6,7,8
y =  GFP r/H p,"/hr  worked,  prod, workers",20.48,20.86,21.71,23.09,23.61,24.18,25.05
y (index numbers),,133.82,136.32,141.88,150.88,154.3,158.02,163.74
