0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1972,,,,,,,,,,G,,,,GROSS PRODUCT
,,,,,Govt,Hsehld,ROW,CON,Ig,,X-IM,G,,
PRODUCTION,619148.1,,54809.2,22725.3,,,,468702.7,127993.8,,-22509.0,101767.3,1372637.4,tT
,,,,,,,,,,,,,,P*
TOTAL TRADE,78676.1,,22853.4,9696.4,,,,,10837.9,,7046.5,2982.2,314065.8,
,,,,,,,,,,,,,,1
ROYALTIES,54094.4,,17524.9,28891.4,,,,50171.5,249.3,,1411.4,10872.7,163215.6,
"DUMMY 
Govt Ind",,,,,,,,,,,,137400.0,137400.0,
"SECTORS 
Hsehld Ind",,,,,,,,5349.0,,,,,5349.0,
ROW Ind,,,,,,,,-3524.4,,,10645.8,-203.3,6918.1,
GROSS VALUE ADDED,620719.3,,218878.0,101902.4,137400.0,5349.0,6918.1,,-15182.0,,,,1075984.7,
GROSS OUTPUT,1372637.9,,314065.5,163215.4,137400.0,5349.0,6918.1,702672.1,123899.0,,-3405.3,252819.0,3075570.7,
,<,TV,,,,,,,,,,,,
