0,1,2,3,4,5,6,7,8,9,10,11,12
1977,PRODUCTION,TOT TRADE,ROYALTIES,,DUMMY,,,,GROSS FINAL DEMAND,,,GROSS PRODUCT
,,,,Govt,Hsehld,ROW,CON,Ig,X-IM,G,,
PRODUCTION,1178165.0,97257.3,44041.6,,,,771824.0,216650.2,-52853.3,154507.3,2409592.0,tT
,,,,,,,,,,,,P*
TOTAL TRADE,,37337.5,17270.6,,,,288053.6,19788.0,13640.5,2362.0,508896.4,
,,,,,,,,,,,,I
ROYALTIES,99881.2,29973.2,54499.5,,,,80449.3,521.7,3215.9,23180.9,291721.6,
"DUMMY 
Govt Ind",,,,,,,,,,241465.1,241465.1,
"SECTORS 
Hsehld Ind",,,,,,,5930.0,,,,5930.0,
ROW Ind,,,,,,,-7233.0,,32015.6,-697.8,24084.8,
GROSS VALUE ADDED,999264.8,345598.3,178308.4,214465.1,5930.0,24084.8,,2021.6,,,1794841.6,
GROSS OUTPUT,2407755.1,510166.3,294120.0,214465.1,5930.0,24084.8,1139023.9,238981.5,-3981.4,420817.5,5276531.5,
