0,1,2,3,4,5,6,7
,= GOgr2 x (GVAIO /GVA NIPA),2145.0,2518.0,2858.0,3061.0,5017.0,9496.0
,GOlrz^RIii + RI^,1800.0,2100.0,2400.0,2400.0,3900.0,7100.0
"806 8""",RIfl = rental  income of  farm  landlords,1400.0,1100.0,1400.0,1400.0,2300.0,2600.0
80610,RIry = royalties,400.0,1000.0,1000.0,1000.0,1600.0,4500.0
1 8 x 2 1 10  tables,GVAI0  (real  estate),13108.0,26620.0,35611.0,49997.0,76030.0,125049.0
,GVANIPA,11000.0,22200.0,29900.0,39200.0,59100.0,93500.0
,GOgr3 =  g 3 xGO r el,1479.0,4816.0,8021.0,12412.0,19551.0,29576.0
,g3 = site /sale  price,0.113,0.16,0.193,0.21,0.218,0.202
"HUD  (1979, table  27)","New  homes,  sales  price",9780.0,14283.0,15878.0,18611.0,24788.0,36517.0
,"New  homes,  site price",1092.0,2223.0,2978.0,3777.0,5420.0,7335.0
,"Existing  homes,  sales  price",10777.0,13133.0,14346.0,15933.0,19769.0,28561.0
,"Existing  homes,  site  price",1222.0,2150.0,2850.0,3475.0,4306.0,5828.0
,"All  homes,  sales  price",20557.0,27416.0,30224.0,34544.0,44557.0,65078.0
,"All  homes,  site price",2314.0,4373.0,5828.0,7252.0,9726.0,13163.0
,GOrel =  G O r c - G O g r l - G O g r2,13140.0,30192.0,41596.0,59122.0,89566.0,146226.0
