0,1,2,3,4,5,6,7,8,9,10
,,,,Measuring  the  wealth of  nations,,,,,,118
,3000.0,,,,,,,,,
2400-,,,,,,,,,,
,1200-,,,,,,,,,
,,1948,1953,1958,1963,1968,1973,1978,1983,1988
,,,,Figure  5.8.  Total real wage and variable capital (billions of 1982 dollars).,,,,,,
,,,,Source:  Table  5.6.,,,,,,
,0.6,,,,,,,,,
,0.55 -,,,,,,,,,
,0.5,,,,,,,,,
0,.,35   ',i  [ i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i  i,,,,,,,
,,1948,1953,1958,1963,1968,1973,1978,1983,1988
,,,,Figure  5.9.  Productive employment and wage shares. Source: Table 5.6.,,,,,,
