0,1,2
Money  value,flows,41
Table 3.2.  Production  and  trade  sectors,,
Production,Trade,
Goods,Wholesale/retail,
Productive services,"Building, equipment,  and car rentals",
Government  production,Government  trading,
Productive transportation,Distributive  transportation,
