0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,"Table F.I.  Productive and unproductive labor,  1948-89",,,,,,,,,,,,,,,,
"Sources""",Sectors,,Units,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
,PRODUCTION  L p,,thousands,32994.0,31201.0,32.226,33123.0,32768.0,33043.0,31230.0,31714.0,31.864,31.433,29349.0,30020.0,30047.0,29.363
,Manufacturing,,,,,,,,,,,,,,,,
610B  13,Lman,,thousands,15961.0,14777.0,15.508,16665.0,16904.0,17652.0,16378.0,16852.0,17.121,17077.0,15606.0,16.371,16498.0,16075.0
SEHE*,(Lp)m.n,,thousands,12910.0,11790.0,12523.0,13.368,13359.0,14055.0,12817.0,13288.0,13436.0,13189.0,11997.0,12603.0,12586.0,12083.0
SEHE,,,thousands,15582.0,14441.0,15241.0,16393.0,16632.0,17594.0,16314.0,16.882,17243.0,17174.0,15945.0,16675.0,16.796,16236.0
,"(Lp/L)Jn,n",,,0.829,0.816,0.822,0.815,0.803,0.799,0.786,0.787,0.779,0.768,0.752,0.756,0.749,0.74
,"( L p ) m , n = ( L p / L ) n i , n x L m , n",,thousands,13224.0,12064.0,12742.0,13590.0,13577.0,14101.0,12867.0,13264.0,13.341,13.115,11742.0,12373.0,12363.0,11.897
,"(Lu)m.n =  L m a n - ( L p ) m , n",,thousands,2737.0,2713.0,2766.0,3075.0,3327.0,3551.0,3511.0,3.588,3.78,3.962,3864.0,3.998,4135.0,4.178
,Mining,,,,,,,,,,,,,,,,
610B7,L m in,,thousands,1028.0,956.0,957.0,972.0,949.0,908.0,833.0,835.0,873.0,869.0,775.0,742.0,721.0,685.0
SEHE,(L p ) m in,,thousands,906.0,839.0,816.0,840.0,801.0,765.0,686.0,680.0,702.0,695.0,611.0,590.0,570.0,532.0
SEHE,,,thousands,994.0,930.0,901.0,929.0,898.0,866.0,791.0,792.0,822.0,828.0,751.0,732.0,712.0,672.0
,(Lp/L)min,,,0.911,0.902,0.906,0.904,0.892,0.883,0.867,0.859,0.854,0.839,0.814,0.806,0.801,0.792
,(Lp)min = ( L p / L ) n l in  X L m in,,thousands,937.0,862.0,867.0,879.0,846.0,802.0,722.0,717.0,746.0,729.0,631.0,598.0,577.0,542.0
,(Lu)min = L m i n - ( L p ) m in,,thousands,91.0,94.0,90.0,93.0,103.0,106.0,111.0,118.0,127.0,140.0,144.0,144.0,144.0,143.0
,Construction,,,,,,,,,,,,,,,,
610B  12,Leon,,thousands,3305.0,3155.0,3415.0,3628.0,3601.0,3528.0,3394.0,3.463,3.58,3525.0,3397.0,3.533,3491.0,3.461
SEHE,(L'p)con,,thousands,1954.0,1949.0,2101.0,2343.0,2360.0,2341.0,2316.0,2477.0,2653.0,2577.0,2420.0,2577.0,2.497,2426.0
SEHE,Leon,,thousands,2198.0,2194.0,2364.0,2.637,2668.0,2659.0,2646.0,2839.0,3039.0,2962.0,"""i.817",3004.0,2926.0,2.859
,( L p / L ) c on,,,0.889,0.888,0.889,0.889,0.885,0.88,0.875,0.872,0.873,0.87,0.859,0.858,0.853,0.849
,(Lp)Con = ( L p / L ) i on   X L c on,,thousands,2938.0,2803.0,3.035,3224.0,3185.0,3106.0,2971.0,3021.0,3.125,3.067,2918.0,3031.0,2979.0,2937.0
,(Lu)con =  L c on  — ( L p ) c on,,thousands,367.0,352.0,380.0,404.0,416.0,422.0,423.0,442.0,455.0,458.0,479.0,502.0,512.0,524.0
,Transportation and public  utilities,,,,,,,,,,,,,,,,
610B  37,"L,u.",,thousands,4318.0,4135.0,4172.0,4377.0,4390.0,4.438,4226.0,4283.0,4.389,4377.0,4099.0,4083.0,4100.0,3993.0
SEHE f,(Lp)tu.,,thousands,3964.0,3761.0,3791.0,3954.0,3947.0,3.971,3753.0,3799.0,3.874,3.845,3577.0,3604.0,3.58,3.469
SEHE,LJ U.,,thousands,4189.0,4001.0,4034.0,4226.0,4248.0,4.29,4084.0,4141.0,4244.0,4.241,3978.0,4011.0,4004.0,3.903
,(L p /L)| ul,,,0.946,0.94,0.94,0.936,0.929,0.926,0.919,0.917,0.913,0.907,0.899,0.899,0.894,0.889
,"(Lp),ui = (Lp/L); u lxL t l I,",,thousands,4086.0,3887.0,3921.0,4095.0,4079.0,4.108,3883.0,3929.0,4006.0,3.968,3.686,3669.0,3666.0,3549.0
,"(L u) l ul = L l u , - ( L p ) , u ,",,thousands,232.0,248.0,251.0,282.0,311.0,330.0,343.0,354.0,383.0,409.0,413.0,414.0,434.0,444.0
,Services*,,,,,,,,,,,,,,,,
6I0B60,Lserv,,thousands,7707.0,7688.0,7911.0,8033.0,8006.0,8.097,8019.0,8382.0,8720.0,9.006,9.158,9430.0,9.817,10005.0
SEHEC,(Lp)serv,,thousands,4858.0,4903.0,4998.0,5169.0,5293.0,5419.0,5556.0,5805.0,6027.0,6.228,6289.0,6567.0,6.825,7041.0
SEHE,LJerv,,thousands,5181.0,5240.0,5357.0,5547.0,5699.0,5835.0,5969.0,6240.0,6497.0,6708.0,6765.0,7087.0,7.378,7620.0
,(Lp/LJ^v,,,0.938,0.936,0.933,0.932,0.929,0.929,0.931,0.93,0.928,0.928,0.93,0.927,0.925,0.924
,(Lp)SCTv = ( L p / L ) J e r v x L s e rv,,thousands,7227.0,7194.0,7381.0,7486.0,7436.0,7520.0,7464.0,7798.0,8089.0,8362.0,8514.0,8738.0,9081.0,9245.0
