0,1
activities,
Marxian,Input-output
A.  Revenue  side,
TV = GOp + GOt,GO = GOp + GOt + GOry + WG
C = Mp,M = Mp + Mt
VA = T V  - C,VA =  G O -M
= VAp + GOt,= VAp+VAt + WG
,W = Wp + Wt + WG
v=wp,
S =  VA-V,
= P + IBT + (Wt + Mt),
S/V = /Wp,• P/W = P/(W p + Wt)
B.  Use side,
TP = GPp + GPt,GP = GPp + GPt + GPry + WG
,U = Mp + Mt
FP =  T P  - U,FD =  G P -M
= CON + I +  G'+M t,
,(no corresponding  category)
NP=CONWp,
,(no corresponding  category)
SP =  F P  - N P,
= I +  G+(CONW t,
