0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Sources""",Sectors,,Units,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0
,PRODUCTION  L p,,thousands,29937.0,30013.0,30280.0,31365.0,32566.0,32856.0,33445.0,34125.0,33247.0,32727.0,33896.0,35462.0,35657.0,33615.0
,Manufacturing,,,,,,,,,,,,,,,,
610B  13,Lman,,thousands,16658.0,16776.0,17006.0,17902.0,19112.0,19335.0,19642.0,20057.0,19177.0,18336.0,18819.0,19871.0,19804.0,18062.0
SEHE*,(L p) m.n,,thousands,12488.0,12555.0,12781.0,13434.0,14296.0,14308.0,14514.0,14767.0,14044.0,13544.0,14045.0,14834.0,14638.0,13043.0
SEHE,Lman,,thousands,16853.0,16995.0,17274.0,18062.0,19214.0,19447.0,19781.0,20167.0,19367.0,18623.0,19151.0,20154.0,20077.0,18323.0
,( L p / L ) m an,,,0.741,0.739,0.74,0.744,0.744,0.736,0.734,0.732,0.725,0.727,0.733,0.736,0.729,0.712
,( L p ) m an  = ( L P / L ) m an  x L m an,,thousands,12344.0,12393.0,12583.0,13315.0,14220.0,14226.0,14412.0,14686.0,13906.0,13335.0,13802.0,14626.0,14439.0,12857.0
,"(Lu)man =  L,n an-(Lp) m an",,thousands,4314.0,4383.0,4423.0,4587.0,4892.0,5109.0,5230.0,5371.0,5271.0,5001.0,5017.0,5245.0,5365.0,5205.0
,Mining,,,,,,,,,,,,,,,,
610B7,Lmin,,thousands,666.0,647.0,642.0,644.0,640.0,624.0,618.0,626.0,629.0,617.0,625.0,641.0,701.0,755.0
SEHE,(Lp)m in,,thousands,512.0,498.0,497.0,494.0,487.0,469.0,461.0,472.0,473.0,455.0,475.0,486.0,530.0,571.0
SEHE,L'min,,thousands,650.0,635.0,634.0,632.0,627.0,613.0,606.0,619.0,623.0,609.0,628.0,642.0,697.0,752.0
,,,,0.788,0.784,0.784,0.782,0.777,0.765,0.761,0.763,0.759,0.747,0.756,0.757,0.76,0.759
,,,U1V/U9A1IU3,525.0,507.0,503.0,503.0,497.0,477.0,470.0,477.0,478.0,461.0,473.0,485.0,533.0,573.0
,P,,,,,,,,,,,,,,,,
,"( L u )Z = Lm
in-(Tp)minmn",,thousands,141.0,140.0,139.0,141.0,143.0,147.0,148.0,149.0,151.0,156.0,152.0,156.0,168.0,182.0
,Construction,,,,,,,,,,,,,,,,
610B  12,Leon,,thousands,3541.0,3619.0,3728.0,3903.0,3985.0,3965.0,4084.0,4256.0,4179.0,4261.0,4499.0,4835.0,4816.0,4296.0
SEHE,(L'p)eon,,thousands,2500.0,2562.0,2637.0,2749.0,2818.0,2741.0,2822.0,3012.0,2990.0,3071.0,3257.0,3405.0,3294.0,2808.0
SEHE,Leon,,thousands,2948.0,3010.0,3097.0,3232.0,3317.0,3248.0,3350.0,3575.0,3588.0,3704.0,3889.0,4097.0,4020.0,3525.0
,,,,0.848,0.851,0.851,0.851,0.85,0.844,0.842,0.843,0.833,0.829,0.837,0.831,0.819,0.797
,(Lp) C On= n (L p/L) c o nxL c on,,thousands,3003.0,3080.0,3174.0,3320.0,3386.0,3346.0,3440.0,3586.0,3483.0,3533.0,3768.0,4018.0,3946.0,3422.0
,(Lu)con =  LCon ~ (Lp)Con,,thousands,538.0,539.0,554.0,583.0,599.0,619.0,644.0,670.0,697.0,728.0,731.0,817.0,870.0,874.0
,Transportation and public  utilities,,,,,,,,,,,,,,,,
610B  37,"L,u,",,thousands,3989.0,3976.0,4008.0,4108.0,4240.0,4330.0,4394.0,4488.0,4530.0,4498.0,4546.0,4670.0,4744.0,4584.0
SEHE f,"(L'p),u,",,thousands,3465.0,3451.0,3490.0,3561.0,3638.0,3718.0,3757.0,3863.0,3914.0,3872.0,3943.0,4034.0,4079.0,3894.0
SEHE,"L',m",,thousands,3906.0,3903.0,3951.0,4036.0,4158.0,4268.0,4318.0,4442.0,4515.0,4476.0,4541.0,4656.0,4725.0,4542.0
,( L p / L ) | ul,,,0.887,0.884,0.883,0.882,0.875,0.871,0.87,0.87,0.867,0.865,0.868,0.866,0.863,0.857
,"(Lp)iui=(Lp/L)J H,xL,HI",,thousands,3539.0,3516.0,3540.0,3625.0,3710.0,3772.0,3823.0,3903.0,3927.0,3891.0,3947.0,4046.0,4095.0,3930.0
,(L u)(ut = L t ul — (Lp)tut,,thousands,450.0,460.0,468.0,483.0,530.0,558.0,571.0,585.0,603.0,607.0,599.0,624.0,649.0,654.0
