0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
610B86,"l 0 C a '
L  ^ a l ld",thousands,211.0,221.0,234.0,246.0,284.0,292.0,293.0,300.0,302.0,305.0,320.0,352.0,372.0,368.0
,"(Lp/Dnongovto,",,0.831,0.822,0.823,0.817,0.806,0.802,0.792,0.788,0.78,0.771,0.756,0.753,0.748,0.739
,"(Lp>««l -  (L p/L) n o n g o v t ol X L ^,",thousands,175.0,182.0,193.0,201.0,229.0,234.0,232.0,236.0,236.0,235.0,242.0,265.0,278.0,272.0
,(Lp)tetocal = (Lp).efed + (Lp)«el,thousands,623.0,650.0,648.0,674.0,729.0,714.0,706.0,707.0,706.0,714.0,720.0,751.0,774.0,775.0
,Lgetoul= Lgefed + Li e |,thousands,749.0,791.0,787.0,824.0,904.0,891.0,892.0,897.0,905.0,927.0,953.0,997.0,1036.0,1048.0
,"(Lu)««oul = Lgetoul -(Lpjgwo,,!",thousands,126.0,141.0,139.0,150.0,175.0,177.0,186.0,190.0,199.0,213.0,233.0,246.0,262.0,273.0
,"TOTAL TRADE  L,, = L w h lr + L r e ur",thousands,10690.0,10622.0,10789.0,11282.0,11465.0,11586.0,11471.0,11757.0,12127.0,12185.0,12070.0,12262.0,124.0,12353.0
6I0B50,Wholesale trade  L whtr = (L u) w h lr,thousands,2839.0,2783.0,2818.0,2980.0,3056.0,,3092.0,3.164,3307.0,3318.0,3295.0,3351.0,3421.0,3419.0
610B 51,"Retail trade  Lret,r = (Lu) reUr",thousands,7851.0,7839.0,7971.0,8302.0,8409.0,8483.0,8379.0,8593.0,8820.0,8867.0,8775.0,8911.0,9075.0,8934.0
,"Building rent  Lbr =  L r ( r-L, r",thousands,435.0,415.0,424.0,437.0,443.0,453.0,466.0,476.0,479.0,463.0,456.0,460.0,458.0,448.0
,"ROYALTIES  Lr = Lfi + L,r",thousands,1420.0,1453.0,1517.0,1608.0,1698.0,1794.0,1883.0,1957.0,2046.0,2131.0,2172.0,2208.0,22.0,2336.0
