year,nipa_fixed_investment_Agriculture,nipa_fixed_investment_Air..,nipa_fixed_investment_Correction,nipa_fixed_investment_Education,nipa_fixed_investment_Electric  utilities-,nipa_fixed_investment_Energy,nipa_fixed_investment_Fire,nipa_fixed_investment_Gas  utilities,nipa_fixed_investment_Government  employees  retirement  and  disability,nipa_fixed_investment_Highways...,nipa_fixed_investment_Housing  and  community  services,"nipa_fixed_investment_Housing,  community  development,  and  urban  renewal","nipa_fixed_investment_Income  support,  social  security,  and  welfare",nipa_fixed_investment_Medical  care,nipa_fixed_investment_Natural  resources..,nipa_fixed_investment_Other,nipa_fixed_investment_Recreational  and  cultural  activities  2,nipa_fixed_investment_Sanitation,nipa_fixed_investment_Sewerage,nipa_fixed_investment_Transportatio,nipa_fixed_investment_Veterans  benefits  and  services,nipa_fixed_investment_Water,nipa_fixed_investment_Welfare  and  social  services,"nipa_fixed_investment_Workers'  compensation  and  temporary  disability 
insurance..",nipa_gnp_components_Durable goods,nipa_gnp_components_Gross  private  domestic,nipa_gnp_components_Nondurable goods,nipa_gnp_components_Services,nipa_government_receipts_Change in  farm  inventories,nipa_government_receipts_Crops,nipa_government_receipts_Farm  products consumed  on farms,nipa_government_receipts_Gross rental  value of farm  housing,nipa_government_receipts_Less: Intermediate goods and  services,nipa_government_receipts_Livestock,nipa_government_receipts_Other  farm  income,nipa_national_income_Business  transfer,nipa_national_income_Capital  consumption,nipa_national_income_Contributions  for  social,"nipa_national_income_Equals:  Personal 
income",nipa_national_income_Equals: National  income,nipa_national_income_Equals: Net  national  product,nipa_national_income_Gross  national  product,nipa_national_income_Less: Capital,nipa_national_income_Less: Capital  consumption,nipa_national_income_Less: Corporate  profits  with,nipa_national_income_Less: Indirect  business  tax  and,nipa_national_income_Net  interest,nipa_national_income_Personal  dividend,nipa_national_income_Plus: Government  transfer,nipa_national_income_Plus: Subsidies less  current,nipa_national_income_Wage accruals  less,nipa_personal_income_1966,nipa_personal_income_April,nipa_personal_income_August,nipa_personal_income_February,nipa_personal_income_January,nipa_personal_income_July,nipa_personal_income_June,nipa_personal_income_March,nipa_personal_income_May,nipa_personal_income_September..
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,3.0,13.0,19.0,10.0,,,4.0,,11.0,,12.0,17.0,15.0,,14.0,968.5,985.9,988.9,984.2,979.3,993.3,989.3,981.4,994.3,
1962,364.0,49.0,431.0,,,,725.0,17.0,494.0,,,68.0,,197.0,332.0,397.0,478.0,399.0,539.0,,104.0,133.0,,236.0,33.8,62.2,107.8,67.4,-4.7,27.7,7.9,14.8,36.3,19.05,,0.4,9.1,7.7,169.7,169.9,186.9,200.1,,13.2,13.6,16.4,1.7,5.1,11.8,1.8,0.8,97.9,98.8,92.9,99.0,98.0,97.7,95.4,97.1,102.3,
1963,358.0,63.0,431.0,,272.0,320.0,725.0,48.0,14.0,,,220.0,409.0,,332.0,354.0,478.0,399.0,490.0,,12.0,397.5,390.0,5.0,28.9,65.3,107.4,68.4,2.1,15.399999999999999,7.5,15.3,36.2,38.1,,0.5,9.3,8.2,175.0,177.4,194.4,208.2,,13.8,16.8,16.9,1.7,5.4,11.0,1.3,,449.2,456.5,458.8,457.7,456.8,459.5,459.5,455.2,459.4,
1964,,,,,,,,,480.0,,,,,197.0,,,,,,,92.0,,,231.0,28.3,59.9,109.4,69.5,-1.0,14.0,7.0,15.9,36.1,20.15,,0.5,9.6,7.9,181.0,185.1,203.8,218.4,,14.5,17.9,17.5,1.8,5.7,10.6,0.2,0.0,421.5,430.7,437.2,427.6,424.5,436.0,434.3,429.0,432.5,
1965,,,,,,,,,,,-597.0,-152.0,,,,,,,49.0,,,-494.0,,,28.4,54.6,112.0,70.8,3.3,15.15,6.7,16.5,38.2,21.450000000000003,0.1,0.5,10.0,7.1,184.5,190.3,207.4,222.8,,15.4,20.3,17.7,1.8,6.1,9.9,0.1,0.0,,,,,,,,,,
1966,390.0,78.0,467.0,,,,773.0,-5.0,564.0,,,23.0,,227.0,431.0,475.0,513.0,441.0,653.0,,42.0,103.0,,260.0,28.9,55.5,111.4,72.4,3.8,14.25,6.3,17.0,40.3,22.2,0.2,0.5,10.5,7.5,186.7,192.3,211.0,227.5,,16.5,19.8,18.0,2.3,6.0,10.1,,0.0,,1298.4,1301.5,1287.0,1280.9,1302.6,1292.2,1295.0,1288.7,1312.4
1967,383.0,102.0,467.0,,323.0,356.0,773.0,33.0,16.0,,,183.0,487.0,,431.0,422.0,513.0,441.0,594.0,,13.0,398.0,466.0,5.0,29.1,49.0,113.7,74.1,3.1,15.0,6.0,17.5,41.0,22.200000000000003,0.4,0.6,11.4,7.1,184.9,193.4,214.2,231.5,,17.3,23.4,18.1,2.3,6.3,9.9,,0.0,,147.3,144.4,147.1,143.2,139.5,136.8,151.5,138.6,150.5
1968,,,,53.0,,,,,548.0,,,,,227.0,,,,,,,29.0,,,255.0,27.4,52.5,115.9,76.0,,31.8,5.7,17.9,40.4,44.2,0.4,0.6,11.9,6.3,192.7,196.4,218.0,235.9,,17.9,23.5,18.4,2.3,6.5,13.8,,0.0,,569.7,570.4,563.3,562.4,577.1,570.0,564.6,566.0,573.1
1969,,,,,,,,,,,-648.0,-160.0,,,,,,,,,,-547.0,,,31.5,57.0,117.9,78.0,1.7,15.75,5.5,18.3,41.5,23.35,0.5,0.6,12.5,6.0,196.3,204.2,227.4,246.1,,18.7,25.1,19.3,2.3,6.4,10.9,,0.0,,581.4,586.7,576.5,575.3,586.0,585.3,578.8,584.1,588.7
1970,439.0,126.0,466.0,,23.0,15.0,849.0,-8.0,643.0,,,46.0,,249.0,498.0,515.0,570.0,474.0,687.0,,87.0,129.0,,280.0,33.0,56.5,118.1,79.8,0.1,16.05,5.4,18.6,43.1,48.4,0.6,0.7,13.0,6.1,202.3,213.4,233.1,252.4,,19.3,29.0,19.3,2.5,7.0,11.0,,0.1,,1973.0,,,,,,,,
1971,431.0,157.0,466.0,,423.0,457.0,849.0,34.0,23.0,,,198.0,507.0,,498.0,448.0,570.0,474.0,644.0,,16.0,417.5,479.0,5.0,32.9,57.7,118.1,81.6,-2.3,32.7,5.1,18.8,44.8,24.25,0.7,0.7,13.4,5.9,207.7,220.7,239.7,259.7,,20.0,30.7,20.0,2.4,6.7,10.8,,0.1,1660.1,,1685.8,1675.2,1668.1,1692.2,1693.0,,1684.4,1691.6
1972,,,,67.0,,,,,620.0,,,,,249.0,,,,,,,,,,275.0,32.7,55.7,117.6,83.3,1.1,16.3,4.5,19.0,46.6,24.3,0.8,0.7,13.9,6.0,213.3,225.1,245.6,266.6,,21.0,29.9,20.4,2.4,7.1,10.5,,,210.5,,224.4,214.1,212.6,229.1,226.2,,221.9,225.7
1973,,,,,,,,,,-256.0,-656.0,-152.0,,,,,,,43.0,-382.0,,-547.0,,,32.1,49.7,117.5,83.8,,,,,,,,0.7,14.5,6.0,213.3,226.8,246.4,267.9,,21.4,31.5,20.7,2.4,7.3,10.2,0.2,0.1,681.9,,681.6,683.3,681.4,684.5,690.6,,688.4,680.9
1974,,,,,,,,,,,,,,,,,,,,,,,,,31.4,50.9,118.7,85.4,,,,,,,,0.7,15.1,6.8,207.6,219.7,241.2,262.7,,21.6,30.0,20.8,2.6,7.2,11.0,,0.1,767.8,,779.8,777.8,774.1,778.6,776.2,,774.2,785.0
1975,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,118.8,87.3,,,,,,,,0.7,15.5,6.7,206.1,214.6,237.2,259.2,,22.0,27.6,21.2,2.6,7.2,11.6,,,,,,,,,,,,
