year,original_b,original_Pn,original_S,original_c',original_I!,original_SP,original_s',original_s'u,original_u,original_r',original_K g,original_nan,original_KK,original_s,original_I,original_s'«u,original_fn,original_gK,original_K,calculated_surplus_value,calculated_rate_of_profit,calculated_organic_composition,calculated_rate_of_surplus_value,calculated_capacity_utilization,calculated_capital_stock,calculated_investment,calculated_surplus_capital_ratio,calculated_investment_rate,calculated_surplus_value_growth,calculated_capital_stock_growth,calculated_investment_growth
1958,0.62,96.54,256.15,0.86,34.89,256.04,0.14,0.1,0.77,0.47,0.18,0.049,710.9,,,,,,,256.15,0.47,0.86,0.14,0.77,710.9,34.89,0.36031790687860454,0.04907863271908848,,,
1959,0.62,104.46,278.42,0.82,49.44,278.34,0.18,0.15,0.84,0.45,0.17,0.067,738.0,,,,,,,278.42,0.45,0.82,0.18,0.84,738.0,49.44,0.3772628726287263,0.06699186991869918,0.08694124536404457,0.038120692080461316,0.4170249355116078
1960,0.64,104.04,286.46,0.84,46.74,285.93,0.16,0.14,0.84,0.45,0.16,0.062,755.7,,,,,,,286.46,0.45,0.84,0.16,0.84,755.7,46.74,0.37906576683869253,0.06184994045256054,0.028877235830759185,0.023983739837398543,-0.05461165048543681
1961,0.63,109.64,296.54,0.85,45.31,295.95,0.15,0.13,0.83,0.46,0.17,0.058,775.4,,,,,,,296.54,0.46,0.85,0.15,0.83,775.4,45.31,0.38243487232396184,0.05843435646118133,0.035188158905257394,0.026068545719200698,-0.030594779632006852
1962,0.62,122.08,320.2,0.83,54.09,319.54,0.17,0.15,0.87,0.46,0.18,0.067,802.3,,,,,,,320.2,0.46,0.83,0.17,0.87,802.3,54.09,0.3991025800822635,0.06741867131995513,0.07978687529506967,0.03469177198865103,0.19377620834252918
1963,0.62,129.08,337.71,0.83,58.27,337.07,0.17,0.15,0.9,0.45,0.17,0.07,832.0,,,,,,,337.71,0.45,0.83,0.17,0.9,832.0,58.27,0.40590144230769226,0.0700360576923077,0.05468457214241096,0.03701857160663091,0.07727860972453326
1964,0.62,138.11,364.54,0.83,63.05,364.0,0.17,0.16,0.93,0.45,0.17,0.072,872.3,,,,,,,364.54,0.45,0.83,0.17,0.93,872.3,63.05,0.417906683480454,0.07228017883755589,0.07944686269284307,0.04843749999999991,0.08203192037068807
1965,0.61,154.28,395.0,0.8,77.12,394.44,0.2,0.19,0.98,0.43,0.17,0.083,932.3,,,,,,,395.0,0.43,0.8,0.2,0.98,932.3,77.12,0.42368336372412313,0.08272015445671994,0.08355735996049818,0.06878367534105245,0.22315622521808098
1966,0.61,167.85,430.65,0.8,86.75,430.09,0.2,0.2,1.01,0.42,0.16,0.086,1014.4,,,,,,,430.65,0.42,0.8,0.2,1.01,1014.4,86.75,0.42453667192429023,0.08551853312302839,0.09025316455696197,0.08806178268797593,0.12487033195020736
1967,0.63,170.38,454.4,0.82,82.29,453.42,0.18,0.18,0.99,0.42,0.16,0.075,1093.0,,,,,,,454.4,0.42,0.82,0.18,0.99,1093.0,82.29,0.4157365050320219,0.07528819762122599,0.05514919308022748,0.07748422712933767,-0.0514121037463976
