year,modern_K_st_consistent
1925,223353.0
1926,231574.0
1927,236861.0
1928,248565.0
1929,251681.0
1930,239391.0
1931,205434.0
1932,187564.0
1933,196468.0
1934,198572.0
1935,199534.0
1936,220420.0
1937,231723.0
1938,231970.0
1939,235616.0
1940,254421.0
1941,282829.0
1942,302339.0
1943,317093.0
1944,329330.0
1945,353016.0
1946,433994.0
1947,516636.0
1948,562155.0
1949,581107.0
1950,655791.0
1951,713905.0
1952,751932.0
1953,783259.0
1954,815219.0
1955,888797.0
1956,958480.0
1957,1008901.0
1958,1034000.0
1959,1078066.0
1960,1110974.0
1961,1147643.0
1962,1190386.0
1963,1228733.0
1964,1313939.0
1965,1402886.0
1966,1522082.0
1967,1636531.0
1968,1804747.0
1969,1962901.0
1970,2120971.0
1971,2352693.0
1972,2593933.0
1973,2947079.0
1974,3468501.0
1975,3786126.0
1976,4168964.0
1977,4735809.0
1978,5412663.0
1979,6264478.0
1980,7117861.0
1981,7860432.0
1982,8297204.0
1983,8599570.0
1984,9112473.0
1985,9619035.0
1986,10230761.0
1987,10843464.0
1988,11536165.0
1989,12203075.0
1990,12773557.0
1991,13058846.0
1992,13609239.0
1993,14321803.0
1994,15203006.0
1995,15951511.0
1996,16767551.0
1997,17703444.0
1998,18775357.0
1999,20026897.0
2000,21418042.0
2001,22706389.0
2002,23838715.0
2003,25199215.0
2004,27736825.0
2005,30579829.0
2006,32899164.0
2007,34054828.0
2008,34883695.0
2009,33991830.0
2010,34464729.0
2011,35442108.0
2012,36554177.0
2013,38535411.0
2014,40336033.0
2015,41462448.0
2016,43394946.0
2017,45255386.0
2018,47621638.0
2019,49625450.0
2020,51906171.0
2021,59312969.0
2022,66405057.0
2023,68096195.0
