year,r_exact,c_exact,svv_exact,r_book,c_book,s_book,S,SP,c_prime,V_from_SP,C_from_SP
1958,0.4677443810936567,0.86,0.14,0.47,0.86,0.14,256.15,256.04,0.86,1828.857142857143,1572.817142857143
1959,0.44899341850561364,0.82,0.18,0.45,0.82,0.18,278.42,278.34,0.82,1546.3333333333333,1267.993333333333
1960,0.45043384563035216,0.84,0.16,0.45,0.84,0.16,286.46,285.93,0.84,1787.0625,1501.1325
1961,0.45984816231653464,0.85,0.15,0.46,0.85,0.15,296.54,295.95,0.85,1973.0,1677.05
1962,0.45779304041111696,0.83,0.17,0.46,0.83,0.17,320.2,319.54,0.83,1879.6470588235295,1560.1070588235293
1963,0.45014690170940164,0.83,0.17,0.45,0.83,0.17,337.71,337.07,0.83,1982.7647058823527,1645.6947058823528
1964,0.4486963767767575,0.83,0.17,0.45,0.83,0.17,364.54,364.0,0.83,2141.176470588235,1777.1764705882351
1965,0.43171703949197404,0.8,0.2,0.43,0.8,0.2,395.0,394.44,0.8,1972.1999999999998,1577.76
1966,0.41978675391198417,0.8,0.2,0.42,0.8,0.2,430.65,430.09,0.8,2150.45,1720.36
1967,0.4190301921317475,0.82,0.18,0.42,0.82,0.18,454.4,453.42,0.82,2519.0,2065.58
1968,0.4142212142212143,0.82,0.18,0.41,0.82,0.18,493.63,493.12,0.82,2739.5555555555557,2246.4355555555553
1969,0.40013275307392954,0.81,0.19,0.4,0.81,0.19,523.83,523.25,0.81,2753.9473684210525,2230.6973684210525
1970,0.41806950751494576,0.83,0.17,0.42,0.83,0.17,547.67,546.86,0.83,3216.8235294117644,2669.9635294117643
1971,0.4236150990169377,0.81,0.19,0.42,0.81,0.19,596.7,596.04,0.81,3137.052631578947,2541.012631578947
1972,0.3994341797741545,0.79,0.21,0.4,0.79,0.21,645.98,645.51,0.79,3073.857142857143,2428.3471428571434
1973,,0.78,0.22,0.39,0.78,0.22,719.75,719.63,0.78,3271.0454545454545,2551.4154545454544
1974,0.36251332393094365,0.8,0.2,0.36,0.8,0.2,,778.82,0.8,3894.1,3115.28
1975,0.4131650895996325,0.86,0.14,0.41,0.86,0.14,,868.78,0.86,6205.5714285714275,5336.791428571428
1976,0.40063705933017196,0.83,0.17,0.4,0.83,0.17,,971.25,0.83,5713.235294117647,4741.985294117647
1977,0.38390486637732313,0.8,0.2,0.38,0.8,0.2,,1086.66,0.8,5433.3,4346.64
1978,0.36368464074175283,0.78,0.22,0.36,0.78,0.22,,1221.76,0.78,5553.454545454545,4331.694545454546
1979,0.3583209145341967,0.79,0.21,0.36,0.79,0.21,,1347.44,0.79,6416.380952380953,5068.940952380954
1980,0.35254375273981514,0.83,0.17,0.36,0.83,0.17,,1463.67,0.83,8609.823529411764,7146.153529411764
1981,0.3610990701493455,0.81,0.19,0.36,0.81,0.19,,1669.4,0.81,8786.315789473685,7116.915789473685
1982,0.3825840325703788,0.86,0.14,0.38,0.86,0.14,,1726.06,0.86,12328.999999999998,10602.939999999999
1983,0.3647093330195562,0.84,0.16,0.36,0.84,0.16,,1867.15,0.84,11669.6875,9802.5375
1984,0.36743990902539275,0.8,0.2,0.37,0.8,0.2,,2103.7,0.8,10518.499999999998,8414.8
1985,0.37835676846316896,0.83,0.17,0.38,0.83,0.17,,2258.31,0.83,13284.176470588234,11025.866470588235
1986,0.39833832440653133,0.83,0.17,0.4,0.83,0.17,,2389.25,0.83,14054.411764705881,11665.161764705881
1987,0.393786472539699,0.83,0.17,0.39,0.83,0.17,,2555.52,0.83,15032.470588235294,12476.950588235293
1988,0.38772466507984354,0.84,0.16,0.39,0.84,0.16,,2755.18,0.84,17219.875,14464.695
1989,0.3945576465196074,0.85,0.15,0.39,0.85,0.15,,2945.32,0.85,19635.466666666667,16690.146666666667
