year,I,I!,K,K g,KK,Pn,S,SP,b,c',fn,gK,r',s,s',s'u,s'«u,u,K_unified,u_corrected,r_perfect,gK_perfect,s_u_calc_perfect,V_from_SP_perfect,C_from_SP_perfect,V_from_S_perfect,C_from_S_perfect,r_error,gK_error
1958,,34.89,,0.18,710.9,96.54,256.15,256.04,0.62,0.86,,0.049,0.47,,0.14,0.1,,0.77,710.9,0.77,0.4677443810936567,,0.1078,1828.857142857143,1572.817142857143,1829.6428571428569,1573.4928571428568,-0.002255618906343293,
1959,,49.44,,0.17,738.0,104.46,278.42,278.34,0.62,0.82,,0.067,0.45,,0.18,0.15,,0.84,738.0,0.84,0.44899341850561364,0.03812069208046142,0.1512,1546.3333333333333,1267.993333333333,1546.7777777777778,1268.3577777777778,-0.0010065814943863716,-0.028879307919538584
1960,,46.74,,0.16,755.7,104.04,286.46,285.93,0.64,0.84,,0.062,0.45,,0.16,0.14,,0.84,755.7,0.84,0.45043384563035216,0.023983739837398436,0.1344,1787.0625,1501.1325,1790.3749999999998,1503.9149999999997,0.0004338456303521476,-0.03801626016260157
1961,,45.31,,0.17,775.4,109.64,296.54,295.95,0.63,0.85,,0.058,0.46,,0.15,0.13,,0.83,775.4,0.83,0.45984816231653464,0.02606854571920065,0.12449999999999999,1973.0,1677.05,1976.9333333333336,1680.3933333333334,-0.0001518376834653834,-0.031931454280799354
1962,,54.09,,0.18,802.3,122.08,320.2,319.54,0.62,0.83,,0.067,0.46,,0.17,0.15,,0.87,802.3,0.87,0.45779304041111696,0.03469177198865099,0.1479,1879.6470588235295,1560.1070588235293,1883.5294117647056,1563.3294117647056,-0.0022069595888830618,-0.03230822801134901
1963,,58.27,,0.17,832.0,129.08,337.71,337.07,0.62,0.83,,0.07,0.45,,0.17,0.15,,0.9,832.0,0.9,0.45014690170940164,0.037018571606630996,0.15300000000000002,1982.7647058823527,1645.6947058823528,1986.5294117647056,1648.8194117647056,0.0001469017094016256,-0.03298142839336901
1964,,63.05,,0.17,872.3,138.11,364.54,364.0,0.62,0.83,,0.072,0.45,,0.17,0.16,,0.93,872.3,0.93,0.4486963767767575,0.048437499999999946,0.15810000000000002,2141.176470588235,1777.1764705882351,2144.3529411764707,1779.8129411764705,-0.0013036232232425116,-0.02356250000000005
1965,,77.12,,0.17,932.3,154.28,395.0,394.44,0.61,0.8,,0.083,0.43,,0.2,0.19,,0.98,932.3,0.98,0.43171703949197404,0.0687836753410524,0.196,1972.1999999999998,1577.76,1975.0,1580.0,0.0017170394919740484,-0.014216324658947607
1966,,86.75,,0.16,1014.4,167.85,430.65,430.09,0.61,0.8,,0.086,0.42,,0.2,0.2,,1.01,1014.4,1.01,0.41978675391198417,0.088061782687976,0.202,2150.45,1720.36,2153.2499999999995,1722.5999999999997,-0.00021324608801581713,0.0020617826879760076
1967,,82.29,,0.16,1093.0,170.38,454.4,453.42,0.63,0.82,,0.075,0.42,,0.18,0.18,,0.99,1093.0,0.99,0.4190301921317475,0.07748422712933756,0.1782,2519.0,2065.58,2524.4444444444443,2070.0444444444443,-0.0009698078682524591,0.00248422712933756
1968,,89.23,,0.15,1202.5,175.58,493.63,493.12,0.64,0.82,,0.074,0.41,,0.18,0.18,,0.99,1202.5,0.99,0.4142212142212143,0.10018298261665141,0.1782,2739.5555555555557,2246.4355555555553,2742.388888888889,2248.758888888889,0.004221214221214298,0.026182982616651418
1969,,100.75,,0.14,1320.9,177.83,523.83,523.25,0.66,0.81,,0.076,0.4,,0.19,0.19,,0.99,1320.9,0.99,0.40013275307392954,0.09846153846153853,0.1881,2753.9473684210525,2230.6973684210525,2757.0,2233.17,0.00013275307392951463,0.022461538461538533
1970,,93.49,,0.14,1453.4,179.61,547.67,546.86,0.67,0.83,,0.064,0.42,,0.17,0.15,,0.9,1453.4,0.9,0.41806950751494576,0.10031039442804147,0.15300000000000002,3216.8235294117644,2669.9635294117643,3221.588235294117,2673.918235294117,-0.0019304924850542249,0.03631039442804147
1971,,112.14,,0.15,1598.9,204.43,596.7,596.04,0.66,0.81,,0.07,0.42,,0.19,0.17,,0.88,1598.9,0.88,0.4236150990169377,0.10011008669327094,0.16720000000000002,3137.052631578947,2541.012631578947,3140.5263157894738,2543.826315789474,0.0036150990169377395,0.030110086693270935
1972,,134.63,,0.14,1737.7,225.26,645.98,645.51,0.65,0.79,,0.077,0.4,,0.21,0.19,,0.93,1737.7,0.93,0.3994341797741545,0.08680968165613856,0.1953,3073.857142857143,2428.3471428571434,3076.095238095238,2430.115238095238,-0.0005658202258455036,0.00980968165613856
1973,,160.1,,0.14,1940.3,258.07,719.75,719.63,0.64,0.78,,0.083,0.39,,0.22,0.21,,,1940.3,0.915,0.40533983111732197,0.11659089601196979,,3271.0454545454545,2551.4154545454544,3271.590909090909,2551.840909090909,0.015339831117321956,0.03359089601196978
1974,152.3,,2387.1,,,,,778.82,,0.8,0.12,0.064,0.36,778.25,0.2,,0.18,0.9,2387.1,0.9,0.36251332393094365,0.0638012651334255,0.18000000000000002,3894.1,3115.28,,,0.0025133239309436672,-0.00019873486657449868
1975,120.41,,2661.7,,,,,868.78,,0.86,0.14,0.045,0.41,867.02,0.14,,0.11,0.79,2661.7,0.79,0.4131650895996325,0.04523800578577601,0.11060000000000002,6205.5714285714275,5336.791428571428,,,0.00316508959963252,0.00023800578577601317
1976,163.83,,2920.8,,,,,971.25,,0.83,0.14,0.056,0.4,968.82,0.17,,0.14,0.83,2920.8,0.83,0.40063705933017196,0.05609079704190633,0.1411,5713.235294117647,4741.985294117647,,,0.0006370593301719407,9.07970419063292e-05
1977,212.85,,3253.5,,,,,1086.66,,0.8,0.13,0.065,0.38,1083.13,0.2,,0.17,0.87,3253.5,0.87,0.38390486637732313,0.06542185338865837,0.17400000000000002,5433.3,4346.64,,,0.003904866377323124,0.0004218533886583692
1978,268.03,,3774.6,,,,,1221.76,,0.78,0.13,0.071,0.36,1221.07,0.22,,0.2,0.89,3774.6,0.89,0.36368464074175283,0.07100884861972129,0.1958,5553.454545454545,4331.694545454546,,,0.0036846407417528426,8.848619721293915e-06
1979,288.23,,4225.2,,,,,1347.44,,0.79,0.13,0.068,0.36,1346.24,0.21,,0.19,0.89,4225.2,0.89,0.3583209145341967,0.06821688914134243,0.18689999999999998,6416.380952380953,5068.940952380954,,,-0.0016790854658033094,0.00021688914134242177
1980,254.39,,4884.4,,,,,1463.67,,0.83,0.12,0.053,0.36,1462.7,0.17,,0.15,0.85,4884.4,0.85,0.35254375273981514,0.05208213905495045,0.14450000000000002,8609.823529411764,7146.153529411764,,,-0.007456247260184845,-0.0009178609450495451
1981,323.44,,5503.7,,,,,1669.4,,0.81,0.12,0.059,0.36,1668.19,0.19,,0.16,0.84,5503.7,0.84,0.3610990701493455,0.058767738067118484,0.1596,8786.315789473685,7116.915789473685,,,0.0010990701493455157,-0.0002322619328815126
1982,249.11,,5859.2,,,,,1726.06,,0.86,0.12,0.043,0.38,1724.68,0.14,,0.11,0.77,5859.2,0.77,0.3825840325703788,0.04251604314582196,0.1078,12328.999999999998,10602.939999999999,,,0.0025840325703788136,-0.0004839568541780345
1983,290.23,,6094.71,,,,,1867.15,,0.84,0.12,0.048,0.36,1865.8,0.16,,0.13,0.84,6094.71,0.84,0.3647093330195562,0.04761998520028025,0.1344,11669.6875,9802.5375,,,0.004709333019556228,-0.00038001479971975366
1984,429.23,,6432.91,,,,,2103.7,,0.8,0.13,0.067,0.37,2101.78,0.2,,0.18,0.89,6432.91,0.89,0.36743990902539275,0.0667240797710523,0.17800000000000002,10518.499999999998,8414.8,,,-0.002560090974607243,-0.00027592022894770696
1985,392.53,,6706.44,,,,,2258.31,,0.83,0.13,0.059,0.38,2258.68,0.17,,0.16,0.89,6706.44,0.89,0.37835676846316896,0.05853030818138983,0.15130000000000002,13284.176470588234,11025.866470588235,,,-0.0016432315368310468,-0.000469691818610167
1986,398.85,,7056.52,,,,,2389.25,,0.83,0.14,0.057,0.4,2401.11,0.17,,0.14,0.85,7056.52,0.85,0.39833832440653133,0.056522195076326574,0.14450000000000002,14054.411764705881,11665.161764705881,,,-0.0016616755934686922,-0.00047780492367342775
1987,422.29,,7459.32,,,,,2555.52,,0.83,0.13,0.057,0.39,2563.38,0.17,,0.14,0.87,7459.32,0.87,0.393786472539699,0.056612398985430315,0.1479,15032.470588235294,12476.950588235293,,,0.003786472539698993,-0.00038760101456968704
