Industry Description,Year,Value,Workbook,Sheet
Accommodation,1997,176.517,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,1998,180.40699999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,1999,186.33499999999998,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2000,196.948,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2001,202.108,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2002,208.177,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2003,216.74,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2004,228.327,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2005,246.255,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2006,269.544,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2007,307.956,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2008,343.207,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2009,359.77299999999997,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2010,354.854,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2011,343.214,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2012,331.932,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2013,321.263,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2014,314.033,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2015,310.613,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2016,307.908,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2017,300.0,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2018,297.495,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2019,296.695,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2020,295.563,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2021,289.755,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2022,287.421,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Accommodation,2023,286.852,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,1997,150.497,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,1998,156.512,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,1999,164.553,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2000,174.74099999999999,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2001,183.559,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2002,190.805,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2003,199.101,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2004,207.594,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
Administrative and support services,2005,217.027,BEA-BLS-industry-level-production-account-1997-2023.xlsx,Capital_Art_Quantity
