0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Line,Seasonally  adjusted  at annual  rates,,,,,,,,,,,,,,,,,,,
,,1951,,,,1952,,,,1953,,,,1954,,,,1955,,,
,,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,"III
IV",
"Gross  national  product....
Personal  consumption
expenditures.
Durable goods
Nondurable goods
Services
Gross  private  domestic
investment.
Fixed  investment
Nonresidential
Structures
Producers'  durable
equipment.
Residential
Change  in business
inventories.
Nonfarm
Farm
Net  exports of goods and
services.
Exports
Imports
Government  purchases of
goods and services.
Federal
National  defense
Nondefense
State  and local","789 1
345 6
1 2
0
11
12
13
14
15
16
17
18
19
20
21
22","322.9
209.1
33.8
107.8
67.4
62.2
51.7
30.8
11.5
19.4
20.8
10.5
9.3
1.3
1.8
17.4
15.6
49.9
29.0
24.3
4.7
20.9","330.9
204.7
28.9
107.4
68.4
65.3
50.0
31.8
12.1
19.7
18.2
15.3
14.0
1.2
3.9
19.8
15.9
57.0
35.4
30.6
4.8
21.6","337.7
207.3
28.3
109.4
69.5
59.9
49.6
32.5
12.3
20.2
17.2
10.2
9.1
1.1
5.8
20.8
15.0
64.7
42.6
38.0
4.6
22.1","342.1
211.3
28.4
112.0
70.8
54.6
49.6
32.2
11.9
20.2
17.5
4.9
3.8
1.1
6.4
21.1
14.7
69.9
47.5
42.4
5.2
22.4","345.2
212.7
28.9
111.4
72.4
55.5
50.4
32.4
12.0
20.4
18.0
5.1
4.0
1.2
5.8
21.4
15.6
71.1
48.6
42.7
5.9
22.5","345.7
216.9
29.1
113.7
74.1
49.0
51.3
32.9
12.1
20.8
18.5
- 2 .3
- 3 .3
1.0
4.0
19.4
15.4
75.7
52.5
45.9
6.6
23.2","351.6
219.3
27.4
115.9
76.0
52.5
48.2
29.8
12.1
17.7
18.4
4.3
3.3
.9
2.1
18.0
16.0
77.7
54.7
47.3
7.4
23.0","364.0
227.4
31.5
117.9
78.0
57.0
51.8
32.5
12.6
19.9
19.3
5.2
4.6
.5
1.0
18.1
17.1
78.6
55.0
48.9
6.1
23.6","370.7
230.9
33.0
118.1
79.8
56.5
54.0
34.3
13.1
21.3
19.7
2.5
3.0
- .5
1.3
17.9
16.5
82.0
57.6
49.5
8.1
24.4","374.1
232.7
32.9
118.1
81.6
57.7
54.6
34.8
13.5
21.3
19.8
3.2
4.1
- .9
.9
18.1
17.2
82.8
58.5
49.9
8.6
24.3","373.3
233.6
32.7
117.6
83.3
55.7
55.0
35.9
13.7
22.1
19.2
.7
1.5
- .8
1.3
18.4
17.1
82.6
57.6
48.7
8.8
25.0","368.2
233.3
32.1
117.5
83.8
49.7
54.3
35.4
14 0
21.4
18.9
- 4 .6
- 4 .3
-  3
1.6
17.9
16.3
83.6
57.9
47.9
10.0
25.7","367.9
235.5
31.4
118.7
85.4
50.9
53.5
34.5
13 9
20.6
19.0
- 2 .6
- 2 .8
2
1.7
17.3
15.6
79.8
53.2
44.8
8.4
26.6","368.1
238.2
32.1
118.8
87.3
52.0
54.6
34.3
13 9
20.4
20.3
- 2 .6
- 3 .2
5
2.3
19.3
17.0
75.7
48.4
42.4
6.0
27.2","372.8
240.5
31.6
119.9
89.0
54.7
56.8
35.0
13 8
21.1
21.8
- 2 .1
- 2 .8
7
2.7
18.8
16.1
75.0
46.7
40.3
6.4
28.2","381.2
245.1
33.3
121.3
90.5
58.9
58.1
34.9
13 8
21.1
23.2
.8
.2
6
3.6
19.8
16.3
73.7
45.2
38.9
6.3
28.5","394.0
251.1
36.5
122.3
92.3
64.8
60.4
35.4
14 3
21.1
25.0
4.4
3.8
5
3.6
20.6
17.0
74.6
45.0
39.1
5.9
29.6","402.3
256.1
38.8
124.0
93.2
69.6
63 5
37.9
14 7
23.1
25 6
6.1
.5.7
4
2.3
20.3
18.0
74.3
44.2
38 6
5.6
30.2","410.5
416.9
260.2
264.2
40.6
39.6
125.0
127.5
94.6
97.1
71.3
73.3
65 7
66 6
40.4
42.4
15 4
16 2
25.0
26.3
25 2
24 2
5.6
6.7
5.5
68
1
1
3.3
2.9
21.6
21.9
18.3
19.0
75.7
76.5
45.2
45.4
39 7
38 5
5.5
6.9
30.5
31.1",
