0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Fixed  investment,,,66.5,67.8,68.9,69.0,69.6,69.2,70.4,69.4,64.9,63.2,64.1,68.1,72.1,74.8,75.9,74.9,77.7,75.7,73.7,73.4
Nonresidential,,,42.8,43.9,45.4,45.9,46.9,47.1,48.4,47.5,43.7,41.9,41.2,42.8,44.3,46.0,47.6,47.4,49.4,49.6,48.4,48.1
Structures,,7891.0,17.4,18.0,18.6,18.7,18.8,19.0,19.1,18.9,18.2,17.6,17.1,17.3,17.3,17.9,18.4,18.2,19.3,18.8,18.9,19.7
Producers'  durable,,0.0,25.4,25.9,26.8,27.2,28.2,28.1,29.3,28.6,25.5,24.4,24.1,25.5,27.1,28.1,29.1,29.1,30.1,30.7,29.5,28.4
