0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Line,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
"Farm  output
Cash  receipts  from  farm  marketings  and net
Commodity  Credit  Corporation  loans.
Crops
Livestock
Gross  rental  value of farm  housing
Farm  products  consumed  on farms
Other  farm  income
Change  in farm  inventories
Crops
Livestock
Less: Intermediate  goods and  services
purchased.
Intermediate  goods and services,  other
than  rent.
Rent  paid  to nonoperator  landlords
Equals:  Gross  farm  product
Less: Capital  consumption  allowances  with
capital  consumption  adjustment.
Indirect  business tax and  nontax
liability.
Plus: Subsidies  to operators
Equals:  Farm  national  income",,"121.6
97.8
39.8
58.0
17.8
2.3
1.5
2.3
2.6
- .4
62.6
55.6
7.0
59.0
13.7
2.6
1.3
44.0","122.0
100.9
40.3
60.5
17.7
2.1
1.5
- .2
- .6
.5
67.3
60.9
6.4
54.7
14.1
2.4
1.3
39.5","127.7
105.0
43.3
61.7
17.6
1.9
1.7
1.5
1.1
.4
70.1
63.5
6.6
57.7
14.6
2.5
1.4
42.0","127.1
105.6
43.6
62.0
17.4
1.8
1.7
.6
- .2
.8
71.4
64.6
6.8
55.7
15.1
2.4
1.4
39.6","130.6
109.2
47.2
62.0
17.2
1.7
1.7
.8
- .3
1.1
73.3
66.4
7.0
57.2
15.5
2.5
1.6
40.8","135.2
112.7
49.3
63.5
18.3
1.7
1.6
.8
- 1 .3
2.1
74.5
67.7
6.9
60.7
16.0
2.6
1.6
43.7","138.7
114.2
48.6
65.7
17.8
1.7
1.5
3.5
2.1
1.5
76.4
69.6
6.8
62.3
16.5
2.7
1.6
44.8","141.0
118.2
51.7
66.5
17.1
1.7
1.5
2.5
.7
1.8
79.0
70.7
8.3
62.0
17.0
2.7
1.7
44.0","143.8
118.0
54.5
63.4
16.8
1.8
1.7
5.6
1.8
3.7
82.8
74.0
8.8
61.1
17.9
2.6
1.8
42.3","137.1
117.1
53.7
63.4
16.6
2.1
1.4
- .1
-1.9
1.8
76.4
69.3
7.1
60.7
18.4
2.6
1.8
41.5","138.6
117.4
54.0
63.4
16.4
2.0
1.6
1.4
4.3
-2.9
73.8
66.4
7.4
64.8
19.0
2.8
1.8
44.7","141.6
125.6
59.1
66.5
16.0
2.0
1.6
-3.6
-1.0
-2.6
79.2
72.3
6.8
62.5
19.6
2.7
1.9
42.1","144.8
127.5
58.7
68.9
15.7
1.7
1.7
-1.8
1.8
-3.7
82.6
75.7
6.9
62.2
20.4
2.7
1.9
41.1","149.8
129.8
60.7
69.1
15.4
1.5
2.5
.6
3.5
-2.9
81.8
6.9
61.0
21.0
2.6
2.0
39.3","155.8
132.5
64.3
68.2
14.9
1.4
2.5
4.6
3.8
.8
91.2
83.8
7.4
64.6
21.7
2.8
2.1
42.2","151.7
138.5
70.0
68.5
14.3
1.2
2.4
-4.7
- 6 .3
1.6
87.6
80.2
7.4
64.2
22.3
2.8
2.3
41.4","159.3
136.9
67.1
69.8
13.6
1.1
2.7
4.9
4.6
.3
83.5
76.3
7.3
75.7
22.2
3.3
2.2
52.4","159.0
142.9
72.7
70.3
12.9
1.0
3.5
-1.4
- .7
- .7
82.0
74.3
7.7
77.0
22.0
3.3
2.4
54.0"
