0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Line,Seasonally  adjusted at annual  rates,,,,,,,,,,,,,,,,,,,
,,1956,,,,1957,,,,1958,,,,1959,,,,1960,,,
,,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV
"Gross  national  product....
Personal  consumption
expenditures.
Durable goods
Nondurable goods
Services
Gross private  domestic
investment.
Fixed  investment
Nonresidential
Structures
Producers'  durable
equipment.
Residential
Change in  business
inventories.
Farm
Net exports  of  goods and
services.
Exports
Imports 
••••
Government  purchases of
goods and  services.
Federal
Nond6f6nse 
.
State and local","345 6
1 2
7891
0
11
12
13
14
15
16
17
18
19
20
21
22","419.5
265.8
37.9
129.1
98.8
72.8
66.5
42.8
17.4
25.4
23.7
6.2
6.6
- .3
3.4
23.3
19.9
77.5
45.4
38.8
6.6
32.1","425.1
268.4
38.0
130.0
100.5
72.2
67.8
43.9
18.0
25.9
23.9
4.4
5.2
- .8
4.9
24.8
19.9
79.6
46.7
40.8
5.9
32.9","429.9
271.5
37.6
131.3
102.5
72.8
68.9
45.4
18.6
26.8
23.5
3.9
4.4
- .5
5.7
25.9
20.2
80.0
46.3
40.8
5.6
33.6","438.3
276.7
39.3
132.7
104.7
72.9
69.0
45.9
18.7
27.2
23.0
3.9
4.1
- .2
7.3
26.8
19.5
81.5
47.2
42.4
4.8
34.3","447.3
280.9
40.3
134.5
106.2
71.9
69.6
46.9
18.8
28.2
22.6
2.3
2.0
.3
8.1
29.1
21.0
86.4
50.8
43.8
7.0
35.6","449.4
283.2
39.8
135.8
107.5
71.7
69.2
47.1
19.0
28.1
22.1
2.5
2.0
.5
7.7
28.9
21.2
86.8
50.4
44.4
5.9
36.4","456.5
287.7
39.4
139.2
109.1
73.6
70.4
48.4
19.1
29.3
22.0
3.2
2.5
.7
7.4
28.2
20.7
87.8
50.6
45.2
5.4
37.2","450.9
289.4
39.1
138.9
111.4
67.1
69.4
47.5
18.9
28.6
21.9
- 2 .3
- 3 .3
1.0
6.1
26.7
20.6
88.3
50.2
44.9
5.2
38.2","443.9
289.0
37.1
139.5
112.4
59.5
64.9
43.7
18.2
25.5
21.2
- 5 .4
- 6 .3
.9
3.9
24.4
20.5
91.5
52.3
45.1
7.1
39.3","447.9
291.9
36.3
140.8
114.7
58.2
63.2
41.9
17.6
24.4
21.3
- 5 .0
- 5 .9
.9
3.3
24.4
21.1
94.6
54.3
46.1
8.1
40.3","461.0
296.9
37.0
142.8
117.1
64.1
64.1
41.2
17.1
24.1
22.8
0
- .8
.8
3.6
24.4
20.8
96.4
55.0
46.6
8.5
41.4","474.2
300.7
38.3
143.9
118.5
72.1
68.1
42.8
17.3
25.5
25.3
4.0
3.3
.7
2.5
24.4
21.9
98.9
56.5
47.2
9.3
42.4","0 1
485.1
308.8
41.6
146.3
120.9
76.9
72.1
44.3
17.3
27.1
27.8
4.7
4.7
.2
23.7
22.5
98.2
55.0
46.9
8.1
43.2","497.8
314.6
43.4
147.7
123.6
84.4
74.8
46.0
17.9
28.1
28.8
9.5
9.7
- .2
.4
24.2
23.7
98.4
55.0
46.3
8.7
43.4","498.0
319.8
44.2
149.1
126.4
78.4
75.9
47.6
18.4
29.1
28.3
2.5
2.5
.1
2.1
26.2
24.1
97.8
54.3
46.3
8.0
43.4","502.4
321.8
42.0
150.8
129.1
81.1
74.9
47.4
18.2
29.1
27.5
6.3
6.1
.2
2.2
25.9
23.7
97.3
54.0
45.9
8.1
43.3","516.1
325.5
43.3
150.9
131.3
88.7
77.7
49.4
19.3
30.1
28.4
11.0
10.7
.3
4.3
28.7
24.4
97.6
53.0
44.7
8.4
44.5","514.5
331.6
44.2
153.8
133.5
78.1
75.7
49.6
18.8
30.7
26.1
2.5
2.2
.3
5.1
29.7
24.6
99.6
53.8
44.6
9.2
45.8","517.7
331.7
43.7
153.5
134.5
77.4
73.7
48.4
18.9
29.5
25.3
3.7
3.2
.5
6.5
30.6
24.0
102.1
55.3
45.6
9.7
46.8","513.0
333.8
42.5
154.6
136.7
68.5
73.4
48.1
19.7
28.4
25.3
- 4 .9
- 5 .4
.5
7.7
30.6
22.S
103.0
55.6
46.2
9.4
47.4"
