0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Line,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,,"1963 
1964"
"Farm output
Cash  receipts from  farm  marketings and  net
Commodity Credit Corporation  loans.
Crops
Livestock
Gross rental  value of farm  housing
Farm  products consumed  on farms
Other  farm  income
Change in  farm  inventories
Crops
Livestock
Less: Intermediate goods and  services
purchased.
Intermediate goods and  services, other
than  rent.
Rent  paid  to nonoperator  landlords
Equals: Gross farm  product
Less: Capital  consumption  allowances with
capital  consumption  adjustment.
Indirect business tax  and  nontax
liability.
Plus: Subsidies to operators
Equals: Farm  national  income",,"86.2
68.2
27.7
40.5
14.8
7.9
-4.7
- 2 .3
-2.4
36.3
32.0
4.3
49.9
7.8
2.2
.9
40.8","91.5
66.5
28.4
38.1
15.3
7.5
2.1
2.4
- .3
36.2
32.1
4.2
55.2
8.6
2.4
.9
45.1","91.1
69.3
29.9
39.4
15.9
7.0
-1.0
-1.9
.9
36.1
32.1
4.0
55.0
9.5
2.4
1.0
44.1","96.5
69.9
29.6
40.2
16.5
6.7
.1
3.3
.7
2.7
38.2
33.8
4.3
58.3
10.4
2.5
1.0
46.4","96.3
69.0
28.3
40.8
17.0
6.3
.2
3.8
.2
3.6
40.3
36.0
4.3
56.0
11.2
2.4
43.3","98.2
71.2
29.6
41.7
17.5
6.0
.4
3.1
.4
2.7
41.0
36.6
4.4
57.2
11.9
2.5
1.0
43.8","99.7
76.0
31.8
44.2
17.9
5.7
.4
- .4
40.4
36.1
4.3
59.3
12.4
2.6
1.0
45.4","102.5
76.5
30.8
45.7
18.3
5.5
.5
1.7
.7
1.0
41.5
37.3
4.3
60.9
12.9
2.6
1.0
46.4","105.1
80.3
31.9
48.4
18.6
5.4
.6
.1
.2
- .1
43.1
39.0
4.1
62.0
13.2
2.7
1.1
47.2","105.5
83.2
32.7
50.6
18.8
5.1
.7
-2.3
_  2
-2.1
44.8
40.5
4.3
60.7
13.3
2.6
1.1
45.8","105.4
80.0
30.4
49.6
19.0
4.5
.8
1.1
2.2
-1.0
46.6
42.4
4.2
58.8
13.3
2.5
1.0
44.0","109.5
82.7
34.4
48.2
19.1
4.3
.9
2.4
.5
1.9
48.3
43.7
4.6
61.2
13.3
2.6
1.1
46.4","111.3
86.7
35.6
51.1
19.0
3.9
1.0
.7
-1.0
1.8
52.5
47.7
4.8
58.8
13.3
2.5
1.2
44.1","113.5
88.6
36.5
52.1
18.8
3.6
1.1
1.4
.8
.6
52.4
47.4
5.0
61.1
13.3
2.6
1.2
46.4","114.8
90.3
36.4
53.9
18.7
3.4
1.0
1.3
- .2
1.6
54.5
49.1
5.4
60.2
13.2
2.6
1.2
45.6","117.3
92.0
37.1
54.9
18.6
2.9
1.1
2.7
.3
2.4
57.5
51.8
5.7
59.8
13.2
2.6
1.2
45.2","119.7
95.1
38.4
56.7
18.3
2.7
1.2
2.3
.5
1.8
59.9
53.7
6.2
59.8
13.3
2.6
1.3
45.2","117.8
97.7
58.9
18.1
2.5
1.3
-1.8
-1.9
.1
60.0
53.7
6.3
57.7
13.4
2.5
1.3
43.1"
