0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
adjustment.,,,,,,,,,,,,,,,,,,,,,
Equals: Net national  product,,296.6,304.0,310.3,314.1,316.7,316.6,322.3,334.2,340.5,343.4,342.0,336.7,336.1,335.9,340.1,348.1,360.7,368.4,375.8,381.3
Less: Indirect  business  tax  and,5 6 7,25.6,24.6,25.0,25.9,26.7,27.5,27.9,28.7,29.3,29.8,29.9,29.8,29.4,29.5,29.5,30.0,31.0,31.9,32.7,33.2
nontax  liability.,,,,,,,,,,,,,,,,,,,,,
Business  transfer,,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.3,1.2,1.2,1.1,1.1,1.0,1.1,1.1,1.2,1.3,1.3
payments.,,,,,,,,,,,,,,,,,,,,,
Statistical  discrepancy,,1.6,3.1,4.0,1.9,2.5,0.8,1.6,2.4,2.9,2.5,1.8,3.3,2.7,2.7,3.3,2.1,3.5,1.8,1.8,0.2
,8 9,,,,0.0,_  2,- .8,0.0,- .3,- .2,- .4,- .6,- .8,- .6,0.0,- .2,- .5,- .2,0.1,- .2,0.2
Plus: Subsidies less  current,,- .2,— .1,- .1,,,,,,,,,,,,,,,,,
surplus  of government,,,,,,,,,,,,,,,,,,,,,
enterprises.,,,,,,,,,,,,,,,,,,,,,
Equals: National  income,10,268.4,275.3,280.2,285.2,286.3,286.5,291.8,301.7,307.0,309.5,308.4,301.6,302.3,302.5,306.1,314.4,324.9,333.5,339.9,346.8
Less: Corporate  profits  with,11,39.2,39.4,40.0,40.9,38.5,36.0,35.7,39.6,40.6,39.8,38.6,31.8,34.0,35.2,36.9,40.3,45.6,46.8,47.5,48.5
inventory  valuation  and,,,,,,,,,,,,,,,,,,,,,
capital  consumption,,,,,,,,,,,,,,,,,,,,,
adjustments.,,,,,,,,,,,,,,,,,,,,,
Net  interest,12,3.3,3.4,3.6,3.6,3.7,3.8,4.0,4.1,4.2,4.3,4.3,4.8,4.9,5.1,5.3,5.5,5.7,5.8,6.0,5.9
Contributions  for  social,13,8.7,8.8,8.8,9.0,9.3,9.2,9.3,9.5,9.6,9.7,9.5,9.4,10.5,10.5,10.7,10.8,11.6,11.8,12.3,12.4
insurance.,,,,,,,,,,,,,,,,,,,,,
Wage accruals  less,14,0.2,- .1,0.8,- .6,0.1,0.1,- .3,0.0,0.0,- .1,- .1,- .1,0.0,0.0,0.0,0.0,0.1,0.5,- .6,0.0
disbursements.,,,,,,,,,,,,,,,,,,,,,
Plus: Government  transfer,15,11.4,11.7,11.8,11.8,11.6,11.8,12.6,12.8,12.8,12.9,13.1,13.6,14.4,15.1,15.5,16.2,16.1,16.4,16.5,16.6
payments to persons.,,,,,,,,,,,,,,,,,,,,,
Personal  interest  income-,16,10.2,10.3,10.5,10.6,10.8,11.0,11.3,11.6,11.9,12.3,12.5,13.1,13.3,13.5,13.8,14.1,14.3,14.7,15.2,15.5
Personal  dividend,17,8.3,8.6,8.5,8.6,8.1,8.6,8.5,8.7,8.4,9.1,8.9,8.8,9.3,8.7,9.2,9.4,9.9,10.0,10.6,10.7
income.,,,,,,,,,,,,,,,,,,,,,
,18,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.3,1.2,1.2,1.1,1.1,1.0,1.1,1.1,1.2,1.3,1.3
Business  transfer,,,,,,,,,,,,,,,,,,,,,
payments.,,,,,,,,,,,,,,,,,,,,,
"Equals:  Personal 
income",19,247.8,255.2,258.8,264.3,266.2,269.8,276.7,282.6,286.9,291.3,291.8,292.3,291.0,290.2,292.8,298.4,303.4,310.8,318.3,324.1
