Receipts and,expenditures,—Hermione,"A. Anglin, Gary W. Davis,",,
State,and local government transactions,—DAVID J. LEVIN.,,,
Receipts and expenditures,—Richard,D. Melchionno.,Con-,,
stant-dollar estimates and,computer services,—Donald,L.,Peters.,
Measures,of,price,change—,SHELBY,W. HERMAN.
Farm,output and,income—MARY,W.,"HOOK, George M. Smith.",
Personal,income—,MARTIN,MURPHY.,Wages and salaries-,
Pauline,"M. Cypert, Kathryn A. Comins.",Other labor income,—,,
Business income—,KENNETH A. PETRICK.,Corporate pro-,,,
fits—,"Willie J. Abney, Dorothy G. Collins, Jerry L. Stone.",Non-,,,
farm proprietors',income,—Susan,P. Den Herder.,,
Property income—MARY,W. HOOK.,Interest—,Teresa L.,,
Weadock.,Rental income,of persons,—Teresita,Chan.,
Industry,product—,MILO,"0. PETERSON, Sherlene K. S. Lum,",,
Vesta,"Jones,","Stephen P. Baldwin, M. Greg Key, Marilyn",E.,Baker.,
