0,1,2
Money  value,flows,41.0
Table 3.2.  Production  and  trade  sectors,nan,nan
Production,Trade,nan
Goods,Wholesale/retail,nan
Productive services,"Building, equipment,  and car rentals",nan
Government  production,Government  trading,nan
Productive transportation,Distributive  transportation,nan
