0,1,2,3,4,5,6,7
Table E.I,TV,,870.18,914.05,973.89,1057.74,1150.25
Table D.2,C=Mp,,371.4,389.68,412.31,447.41,483.74
Table E.I,GVA,,498.78,524.38,561.59,610.33,666.51
Table E.I,VA=GVA-CJ,,475.73,500.46,536.54,583.42,637.72
Table E.I,C,,23.05,23.91,25.05,26.91,28.79
Table E.2,TP,,869.52,913.42,973.35,1057.19,1149.69
,U'=Mp,,371.4,389.68,412.31,447.41,483.74
,GFP = TP-U',,498.12,523.74,561.05,609.78,665.94
Table D.2,M;t+M;y,,53.59,55.95,60.52,65.06,70.54
Table E.2,CON,,303.64,319.67,343.59,370.24,400.85
Table E.2,IG,,81.54,86.8,92.94,109.07,120.83
Table E.2,( X - I M ),,-0.92,-0.2,1.59,-0.39,-2.41
Table E.2,G,,60.26,61.52,62.41,65.8,76.14
,GFU=GFP-(M| t + M,;y),444.53,467.79,500.53,544.71,595.4
,FP = GFP-CJ,,475.07,499.83,536.0,582.87,637.16
Table J.I,,,2725.78,2819.18,2958.52,3127.77,3284.82
