0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,"Table N.2.  Benefit,  tax,  net  transfer  rates,  and adjusted  and  unadjusted  rates  of  surplus  value,  1952-89",,,,,,,,,,,,,
"Sources""",Variables,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0
S &T,Benefit  rate  (Bl/EC),0.11,0.11,0.13,0.13,0.13,0.14,0.17,0.16,0.17,0.18,0.18,0.18,0.19
S &T,Tax rate  (Tl/EC),0.18,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.21,0.21,0.21,0.22,0.21
S &T,Net transfer  rate (Ntrrate),-0.07,- 0 . 06,- 0 . 04,-0.05,-0.05,-0.04,- 0 . 02,-0.03,- 0 . 04,- 0 . 02,-0.03,- 0 . 04,-0.02
Table  G.2,V*,111.01,117.39,111.95,120.52,128.82,133.0,127.72,139.57,144.23,146.13,155.54,162.76,172.0
,NtrV* = Net transfer  out of  V* = (Ntrrate)V*,-7.55,-7.38,- 4 . 72,- 5 . 69,- 6 . 30,-5.9,-2.55,-4.37,-5.74,-3.58,-4.75,-5.91,-3.76
TableH.l,S*,194.51,204.52,208.2,228.55,236.97,250.25,256.15,278.42,286.46,296.54,320.2,337.71,364.54
Table  H.I,SVV*,1.75,1.74,1.86,1.9,1.84,1.88,2.01,1.99,1.99,2.03,2.06,2.07,2.12
,(S* •/V**) = (S* -  NtrV*)/( V* + NtrV*),1.95,1.93,1.99,2.04,1.99,2.02,2.07,2.09,2.11,2.11,2.16,2.19,2.19
Sources*,Variables,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0
S &T,Benefit  rate  (Bl/EC),0.19,0.2,0.21,0.22,0.22,0.24,0.25,0.26,0.26,0.27,0.31,0.3,0.29
S &T,Tax rate  (Tl/EC),0.21,0.23,0.24,0.25,0.26,0.25,0.25,0.27,0.27,0.28,0.27,0.28,0.28
S &T,Net transfer  rate (Ntrrate),- 0 . 02,-0.03,- 0 . 02,-0.03,-0.05,- 0 . 02,0.01,-0.01,-0.01,-0.01,0.04,0.02,0.01
Table  G.2,V*,188.43,207.07,216.26,236.77,261.22,270.43,287.53,324.3,370.49,398.5,410.75,459.63,515.81
,NtrV* = Net transfer  out of  V* = (Ntrrate)V*,- 3 . 46,- 6 . 34,- 5 . 12,- 7 . 26,-12.24,- 4 . 82,1.48,-3.55,- 5 . 20,- 2 . 30,15.77,9.28,3.64
Table  H.I,S*,395.0,430.65,454.4,493.63,523.83,547.67,596.7,645.98,719.75,778.25,867.02,968.82,1083.13
Table  H.I,S*/V*,2.1,2.08,2.1,2.08,2.01,2.03,2.08,1.99,1.94,1.95,2.11,2.11,2.1
,(S*V V**) = (S* -  NtrV*)/( V* + NtrV*),2.15,2.18,2.18,2.18,2.15,2.08,2.06,2.02,1.98,1.97,2.0,2.05,2.08
Sources*,Variables,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,
S &T,Benefit  rate  (Bl/EC),0.28,0.28,0.29,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.29,
S &T,Tax rate  (Tl/EC),0.29,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.31,0.32,
S &T,Net transfer  rate (Ntrrate),-0.01,- 0 . 02,0.0,-0.01,-0.01,0.0,- 0 . 02,-0.03,- 0 . 02,-0.03,-0.03,-0.04,
Table  G.2,V*,589.2,664.78,706.53,772.35,786.53,839.73,928.68,967.99,998.55,1060.9,1146.22,1206.4,
,NtrV* = Net transfer  out  of  V* = (Ntrrate)V*,- 3 . 06,-11.1,- 1 . 82,-10.52,-6.01,- 2 . 49,-18.23,-24.26,-24.91,-35.25,-39.01,-65.77,
Table  H.I,S*,1221.07,1346.24,1462.7,1668.19,1724.68,1865.8,2101.78,2258.68,2401.11,2563.38,2752.81,2943.35,
Table  H.I,SVV*,2.07,2.03,2.07,2.16,2.19,2.22,2.26,2.33,2.4,2.42,2.4,2.44,
,(S*V V**) = (S* -  NtrV*)/( V* + NtrV*),2.09,2.08,2.08,2.2,2.22,2.23,2.33,2.42,2.49,2.53,2.52,2.58,
