0,1,2,3,4,5,6
M/EC,1.69,1.63,1.66,1.63,1.57,1.55
Variables,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0
S?eal,1003.76,1042.3,1108.02,1168.64,1230.43,1265.74
Prtai,619.99,648.1,683.63,733.38,762.71,761.79
SVV,2.06,2.07,2.12,2.1,2.08,2.1
PVEC,0.6,0.61,0.61,0.62,0.6,0.58
Ceal,1236.52,1276.51,1329.36,1403.3,1464.38,1476.69
"Va,",458.81,473.13,491.42,529.29,564.22,575.15
"CVV""",2.54,2.54,2.54,2.52,2.48,2.45
M/EC,1.44,1.43,1.41,1.42,1.39,1.36
Variables,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0
S?ea.,1535.38,1609.41,1691.23,1712.77,1706.77,1774.67
Pr+eal,864.89,909.93,956.47,955.47,921.68,954.67
SVV,2.11,2.1,2.07,2.03,2.07,2.16
PVEC,0.52,0.52,0.52,0.5,0.48,0.5
Cfeal,2002.39,2162.9,2279.49,2316.84,2299.78,2353.89
"Va,",734.23,773.34,822.91,850.11,815.85,816.44
nan,2.75,2.82,2.79,2.74,2.79,2.86
