0,0,1,2,3,4,5
,,635.62,544.09,528.23,0.86,0.83
,,632.69,525.49,568.36,0.83,0.9
,,691.58,589.53,591.0,0.85,0.85
,,750.05,669.72,664.79,0.89,0.89
,,762.72,667.29,722.43,0.87,0.95
,,789.52,696.75,747.35,0.88,0.95
,,791.38,627.16,722.24,0.79,0.91
,,839.91,689.53,754.98,0.82,0.9
,,842.84,689.52,765.34,0.82,0.91
,,859.38,691.01,798.93,0.8,0.93
,,861.74,644.3,824.07,0.75,0.96
,,914.62,708.63,869.12,0.77,0.95
,,925.67,710.76,880.34,0.77,0.95
,,948.89,706.58,926.67,0.74,0.98
,,1002.0,801.31,975.53,0.8,0.97
,,1040.33,808.88,1011.5,0.78,0.97
,,1106.07,871.36,,0.79,
,,1166.7,952.87,,0.82,
,,1228.54,1060.48,,0.86,
,,1263.85,1111.85,,0.88,
,,1307.47,1158.84,,0.89,
,,1314.44,1189.21,,0.9,
,,1302.53,1163.83,,0.89,
