0,1,2,3,4,5
,Interpolation  of  key  input-output,,variables,,279.0
Table D.I.  Interpolation  ofM'p  between  1963 and 1967,,,,,
,1963.0,1964.0,1965.0,1966.0,1967.0
(MP)IO»,384.41,,,,489.38
(GVAP)IO»,332.75,—,—,—,434.29
,1.155,1.148,1.141,1.134,1.127
x p,,,,,
c,,,,,
(GVAp)NIPA,337.3,359.1,392.1,426.6,444.3
,389.68,412.31,447.41,483.74,500.66
a  Figures C.4  and C.5.,,,,,
,b  xp = (Mp/GVAp)IO for benchmark years 1963 and 1967 (linearly interpolated for 1964-66).,,,,
c  Table E.I.,,,,,
,rest-of-world  coefficients)  to create a NIPA-based estimate of the original,,,,
IO variable.  Thus,,,,,
