0,1,2,3,4,5
1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
73.13,74.25,74.75,74.47,78.01,78.03
265.37,269.41,271.25,270.21,283.05,283.13
5284.14,5374.6,5417.29,5547.09,5957.31,6050.53
5691.02,6014.18,6224.47,6606.59,7226.22,7641.82
107.7,111.9,114.9,119.1,121.3,126.3
72254.44,72387.05,72468.79,74490.29,76370.62,77542.07
41.04,41.92,42.75,42.81,44.29,44.56
268.23,273.96,279.42,279.78,289.48,291.19
2965.43,3034.44,3098.34,3188.86,3382.71,3454.93
3193.8,3395.5,3560.0,3797.9,4103.2,4363.6
72254.44,72387.05,72468.79,74490.29,76370.62,77542.07
19.9,20.01,20.45,20.54,21.07,21.15
179.14,180.19,184.08,184.95,189.67,190.41
3458.5,3551.56,3660.05,3775.82,3990.27,4088.04
3724.8,3974.2,4205.4,4497.0,4840.2,5163.2
173815.0,177456.0,179011.0,183804.0,189408.0,193299.0
199.8,202.5,206.7,208.7,213.9,212.4
18.2,18.4,19.62,19.64,19.37,19.33
189.72,191.73,204.44,204.71,201.84,201.47
2896.1,2987.31,3212.45,3314.44,3376.17,3441.49
3119.1,3342.8,3691.1,3947.5,4095.3,4346.6
159095.0,162383.0,163771.0,168743.0,174335.0,178029.0
72254.44,72387.05,72468.79,74490.29,76370.62,77542.07
1907.86,1893.51,1891.53,1893.32,1883.93,1884.46
37871.95,38229.04,38312.3,39343.69,40538.03,41148.07
159095.19,162383.3,163771.43,168742.73,174335.02,178028.62
1905.97,1893.79,1875.64,1872.36,1875.22,1868.16
173815.0,177456.0,179011.0,183804.0,189408.0,193299.0
91195.0,93704.0,95440.0,98167.0,101006.0,103470.0
83472.0,85745.0,87315.0,90123.0,92968.0,95296.0
100607.0,103031.0,104831.0,107891.0,110962.0,113511.0
14894.0,15202.0,15483.0,15768.0,16003.0,16324.0
2241.0,2084.0,2033.0,2000.0,1991.0,1891.0
