0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,wge = (EC/FEE)ge = (ecp) ge,/worker/year,15882.0,16915.0,18005.0,19313.0,21279.0,23828.0,25336.0,26996.0,28485.0,30220.0,31225.0,32842.0,34768.0,36115.0
607B81,F E E g eW,thousands,819.0,813.0,821.0,838.0,846.0,852.0,836.0,834.0,857.0,860.0,856.0,882.0,908.0,917.0
607B86,"FEEge,",thousands,645.0,650.0,680.0,700.0,730.0,727.0,728.0,743.0,760.0,791.0,822.0,833.0,848.0,868.0
,FEE g e l 0 U|,thousands,1464.0,1463.0,1501.0,1538.0,1576.0,1579.0,1.564,1577.0,1617.0,1651.0,1678.0,1715.0,1756.0,1785.0
604B8I,ECfed,millions of,14057.0,14918.0,16079.0,17600.0,19749.0,22434.0,23106.0,24783.0,26894.0,28776.0,29306.0,32012.0,35098.0,36617.0
6048 86,ECji,millions of,9194.0,9829.0,10946.0,12104.0,13787.0,15190.0,16520.0,17.789,19166.0,21118.0,23089.0,24312.0,25954.0,27849.0
,EC g e l 0 Ul,millions of S,23.251,24747.0,27025.0,29704.0,33536.0,37624.0,39626.0,42.572,46060.0,49894.0,52395.0,56324.0,61.052,64466.0
