0,1,2,3,4,5,6,7,8,9,10,11,12,13
1958,PRODUCTION,,,TOT TRADE  ROYALTIES,,DUMMY SECTORS,,,,GROSS FINAL DEMAND,,,GROSS PRODUCT
,,,,,Govt,Hsehld,ROW,CON,Ig,X-IM,G,,
PRODUCTION,274137.6,,•  24792.1,7403.5,,,,188816.9,36215.0,-3795.6,51134.2,578703.7,tT
,,,,,,,,,,,,,P*
TOTAL TRADE,32332.9,:,7625.5,3273.3,,,,69783.2,4037.5,2216.2,1195.7,120464.2,
,,,,,,,,,,,,,1
ROYALTIES,16506.2,,7247.4,7785.8,,,,14046.9,103.7,295.6,1043.3,47029.0,
"DUMMY 
Govt Ind",,,,,,,,,,,40693.8,40693.8,
"SECTORS 
Hsehld Ind",,,,,,,,3503.0,,,,3503.0,
ROW Ind,,,,,,,,-1152.8,,3489.8,-307.0,2030.0,
GROSS VALUE ADDED,255726.9,,80799.3,28566.4,40693.8,3503.0,2030.0,,-622.0,,,410697.5,
GROSS OUTPUT,578703.7,,120464.2,47029.0,40693.8,3503.0,2030.0,274997.2,39734.2,2206.0,93760.1,1203121.2,
