0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6I0B60,Lserv,,thousands,7707.0,7688.0,7911.0,8033.0,8006.0,8.097,8019.0,8382.0,8720.0,9.006,9.158,9430.0,9.817,10005.0
SEHEC,(Lp)serv,,thousands,4858.0,4903.0,4998.0,5169.0,5293.0,5419.0,5556.0,5805.0,6027.0,6.228,6289.0,6567.0,6.825,7041.0
SEHE,LJerv,,thousands,5181.0,5240.0,5357.0,5547.0,5699.0,5835.0,5969.0,6240.0,6497.0,6708.0,6765.0,7087.0,7.378,7620.0
,(Lp/LJ^v,,,0.938,0.936,0.933,0.932,0.929,0.929,0.931,0.93,0.928,0.928,0.93,0.927,0.925,0.924
,(Lp)SCTv = ( L p / L ) J e r v x L s e rv,,thousands,7227.0,7194.0,7381.0,7486.0,7436.0,7520.0,7464.0,7798.0,8089.0,8362.0,8514.0,8738.0,9081.0,9245.0
,(GNPprJjCTv >t,,billions of,15.6,16.1,17.1,18.4,19.3,20.8,21.7,24.0,26.1,28.1,29.5,32.1,34.3,36.5
60160,GNPjerv,,billions of,21.9,22.6,24.2,26.4,28.1,30.2,31.6,35.1,38.7,41.7,44.0,48.3,51.4,54.9
,(GNPpr /GNPJserv,,,0.712,0.712,0.707,0.697,0.687,0.689,0.687,0.684,0.674,0.674,0.67,0.665,0.667,0.665
,"( L p ) ^ v = (GNP p r/GNP)  e rv X ( L p ) ^,",",",thousands,5148.0,5125.0,5.215,5.217,5107.0,5179.0,5126.0,5.332,5455.0,5635.0,5708.0,5807.0,6060.0,6146.0
,(Lu)serv  =  Ljd-v — (Lp)sCTv,,thousands,2559.0,2563.0,2.696,2816.0,2899.0,2918.0,2893.0,3050.0,3265.0,3371.0,3450.0,3623.0,3757.0,3859.0
