0,1,2,3,4,5,6,7,8
Sources,Variables,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0
nan,G = G + WG,32.5,38.86,38.62,60.2,75.56,82.36,75.59
Table E.2,G,14.4,18.76,17.42,32.5,44.06,49.96,42.59
Table E.2,WG,18.1,20.1,21.2,27.7,31.5,32.4,33.0
Table H.I,SP,149.91,148.58,165.09,188.26,194.79,204.29,208.23
nan,G/SP,0.22,0.26,0.23,0.32,0.39,0.4,0.36
Sources,Variables,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
nan,G=G + WG,74.85,79.09,86.73,94.63,96.72,99.03,106.37
Table E.2,G,40.05,41.89,46.93,51.73,51.92,50.93,54.77
Table E.2,WG,34.8,37.2,39.8,42.9,44.8,48.1,51.6
Table H.I,SP,228.16,236.74,249.88,256.04,278.34,285.93,295.95
nan,G/SP,0.33,0.33,0.35,0.37,0.35,0.35,0.36
Sources,Variables,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0
nan,G=G + WG,115.66,120.82,126.81,135.1,154.54,175.3,192.22
Table E.2,G,60.26,61.52,62.41,65.8,76.14,87.9,94.42
Table E.2,WG,55.4,59.3,64.4,69.3,78.4,87.4,97.8
Table H.I,SP,319.54,337.07,364.0,394.44,430.09,453.42,493.12
