0,1,2,3,4,5,6,7,8
Source,1971,1972,1973,1974,1975,1976,1977,1978
Shaikh,2.37,2.36,2.43,2.62,2.64,2.72,2.72,2.73
,"Sources: Shaikh  (1992a);  Varga  (1935;  Sharpe  1982a,  p.  29);  Gillman  (1957;",,,,,,,
"Sharpe 1982a, p. 31); Mandel (1975; Sharpe 1982, p. 34); Perlo (1974).",,,,,,,,
