0,1,2,3,4,5,6,7,8,9,10,11
,r' = profit  rate adjusted  for utilization = r/u,0.52,0.53,0.48,0.49,0.49,0.46,0.48,0.46,0.43,0.45
,gK = (IJ/K) = rate of  accumulation,0.086,0.056,0.09,0.087,0.066,0.064,0.059,0.077,0.071,0.062
"BEA (1987, p.  190)",K = KBEA = fixed nonresidential  gross private capital,384.3,400.2,438.7,480.8,506.2,526.6,546.2,591.2,650.3,689.7
